point,rho,seed,Output,Total_Capital,Investment,Unemployment_Rate,Wage_Share,Profit_Share,Average_Utilization,Capitalist_Consumption,Tax_Rate,Consumption,Employment,Wage_Rate,Money_Buffer
0,0.35,0,0.0,6.271014645190156e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0
0,0.35,1,0.0,5.817634412375916e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0
0,0.35,2,0.0,6.306128732866879e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0
0,0.45,0,145.7757597709983,388.8140836852284,24.280356612019926,0.15137254901960787,0.5644779860185029,0.43552201398149715,0.9651685460545747,55.64547418632306,0.03999833308607697,121.49540315897839,84.86274509803921,0.974961615902267,0.0
0,0.45,1,150.19700389445453,399.68102088001416,24.938111883757088,0.12764705882352942,0.5658316048223305,0.4341683951776694,0.9684002925721509,57.02089223541983,0.029991717592954405,125.25889201069742,87.23529411764706,0.974513039412496,0.0
0,0.45,2,149.99752832499536,399.1218209739764,24.861854135641018,0.12862745098039216,0.5660708950792759,0.4339291049207241,0.9688295154194724,56.88437110555109,0.030485306468560913,125.13567418935436,87.13725490196079,0.9750506760930512,0.0
0,0.55,0,200.07706298311743,693.179883911092,43.24944832556042,0.0,0.5744111450460334,0.4255888549539664,0.845310934049042,63.73711043487623,0.0,156.82761465755695,100.0,1.1492649483934572,0.0
0,0.55,1,181.40098530672603,541.165772509541,33.77902526049171,0.020000000000000018,0.6130038417843516,0.3869961582156485,0.9712698927185174,57.64985781322213,0.004725000719888085,147.62196004623425,98.0,1.1348695009857754,0.0
0,0.55,2,182.1852675577183,549.425800409245,34.24686945258417,0.021568627450980413,0.6110325796813249,0.3889674203186752,0.9632562292795847,57.97329714088395,0.005070940183335359,147.93839810513413,97.84313725490196,1.1379179966393662,0.0
0,0.65,0,221.4792667273002,995.5112899438128,62.11727873269334,0.0,0.5189040809039377,0.4810959190960623,0.6515978332963283,66.26975909405735,0.0,159.36198799460686,100.0,1.1492649483934572,0.0
0,0.65,1,221.0650479995584,987.6992586998267,61.62388444955068,0.0,0.5198763706851355,0.4801236293148644,0.6554805431898924,66.35070273013773,0.0,159.44116355000773,100.0,1.1492649483934572,0.0
0,0.65,2,221.14894932618432,989.4715989726897,61.693724544994616,0.0,0.5196791821345069,0.48032081786549313,0.6543203591262302,66.36677862146195,0.0,159.45522478118974,100.0,1.1492649483934572,0.0
1,0.35,0,0.0,4.19759393927658e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0
1,0.35,1,0.0,3.884470717144022e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0
