point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
0,1.0,0.0,11.031170742549245,2.5849967754831935,11.031170742549245,2.5849967754831935,3,0.0,0.0,121.82863919215298,323.7395111518271,22.125319166336553,0.3618954248366013,0.4547927808552492,0.5452072191447508,0.8670220218547359,49.23071102575377,0.11450431516587127,99.70332002581642,63.81045751633987,0.868392800713317,0.0,124.03487334066283,471.9826106286394,32.08449061113566,0.47019607843137257,0.36051357439916765,0.6394864256008325,0.5959801107673862,49.08591922465403,0.15671929698612422,91.95038272952716,52.98039215686274,0.8440195189324481,0.0
1,1.0,0.0,16.568136666250904,5.706364632597929,16.568136666250904,5.706364632597929,3,0.0,0.0,120.72836790141906,333.6041271545371,22.670988698912566,0.3841176470588235,0.44018478046469217,0.5598152195353078,0.8781333583598508,49.17926398662693,0.12293960286968753,98.05737920250651,61.58823529411765,0.8631422906884807,0.0,124.04199523466924,477.01322174965634,32.373549144195096,0.46254901960784317,0.3663291240595045,0.6336708759404953,0.6260042347671017,48.356586824092176,0.15492261060894633,91.66844609047412,53.74509803921569,0.845508403294558,0.0
2,1.0,0.0,10.56213210586302,3.7967983839819426,10.56213210586302,3.7967983839819426,3,0.0,0.0,122.52017577989845,327.3926094196877,22.216641519928157,0.36084967320261446,0.4561177619061609,0.5438822380938392,0.8646919176835913,49.383617492253016,0.11432087249251559,100.30353425997028,63.915032679738566,0.8744737395964925,0.0,124.63260220107105,472.3756792463828,32.14890166502276,0.4666666666666666,0.36571116729547826,0.6342888327045216,0.6024344483370325,48.928245400594086,0.15658075333108734,92.48370053604827,53.333333333333336,0.8546318765370792,0.0
3,1.0,0.0,-8.084619524939354,3.121006094136073,-8.084619524939354,3.121006094136073,3,1.0,1.0,112.12329573782876,298.1369845026511,20.336210933964036,0.41215686274509816,0.44880301508121684,0.5511969849187831,0.8602981578256491,49.77021693413648,0.05346794199360134,91.78708480386473,58.78431372549019,0.856336504283222,0.0,110.50637183284088,417.5838195135984,28.38798785890246,0.5259477124183007,0.35755989315117215,0.6424401068488278,0.5966035752180422,49.487916296289946,0.07424215422917729,82.1183839739384,47.40522875816993,0.8338084829038203,0.0
4,0.0,1.0,668.545548252947,8.195989929345455,,,3,,0.0,0.0,6.793248926201617e-57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,133.70910965058945,483.53433362484253,32.76605869764949,0.336797385620915,0.4341836541370873,0.5658163458629127,0.6665171037878279,48.46800934253202,0.1061654248145027,100.94305095293998,66.32026143790848,0.8754542119243442,0.0
5,1.0,0.0,9.900006101961761,2.9656517683205497,9.900006101961761,2.9656517683205497,3,0.0,0.0,122.05487212027049,325.62380575517676,22.23074682678119,0.3625490196078431,0.45338446982750136,0.5466155301724986,0.8632863602945724,48.63374058971895,0.1145683623803283,99.82412529348927,63.74509803921569,0.8682118644388149,0.0,124.03487334066283,471.9826106286394,32.08449061113566,0.47019607843137257,0.36051357439916765,0.6394864256008325,0.5959801107673862,48.37408057298091,0.1567192969861242,91.95038272952716,52.98039215686274,0.8440195189324481,0.0
6,0.0,1.0,644.6986497336754,7.384524534365076,,,3,,0.0,0.0,1.0882319027575582e-64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,128.93972994673513,444.1300060089077,34.247378048540256,0.422483660130719,0.38236596575499554,0.6176340342450045,0.6628167072529172,48.66593549996219,0.1385236711859135,94.69235189819487,57.751633986928105,0.853954842162515,0.0
7,1.0,0.0,13.421098673185503,6.625915372698297,13.421098673185503,6.625915372698297,3,0.0,0.0,121.44164737116112,324.08030787434785,22.030158007189765,0.36568627450980395,0.4530387828794014,0.5469612171205985,0.8624195895747709,49.20929526157331,0.11601522998549753,99.41148936397137,63.431372549019606,0.8675615334858492,0.0,124.12586710579824,472.3215949721152,32.114492107031616,0.4698039215686274,0.3605496025515482,0.6394503974484519,0.596022209538862,49.11742359359823,0.15650346172403187,92.01137499876658,53.01960784313726,0.8440970177767072,0.0
8,1.0,0.0,11.418676268667362,4.119003212459923,11.418676268667362,4.119003212459923,3,0.0,0.0,86.7900400020369,231.23141225911704,15.731397448604062,0.5456862745098039,0.43463746459063035,0.5653625354093696,0.844360137940361,33.90259916810242,0.23166434249189646,71.05864255343285,45.43137254901961,0.8304764060826256,0.0,89.07377525577039,331.8672544731275,22.67680830320954,0.6149673202614379,0.35416071304984326,0.6458392869501567,0.6003555113244888,32.93338333659532,0.27606619631978596,66.39696695256085,38.503267973856204,0.8197689196278674,0.0
9,1.0,0.0,2.2012541557745866,5.729060003903688,2.2012541557745866,5.729060003903688,3,0.0,0.0,125.24117768709554,333.10288855270824,22.689292677921785,0.344640522875817,0.45690352259175615,0.5430964774082438,0.8684210566139071,50.60776481204235,0.10661160052551892,102.55188500917376,65.5359477124183,0.8732493733512321,0.0,125.68142851825046,475.2278322628991,32.29408500331885,0.46169934640522875,0.36219847569853586,0.6378015243014642,0.6003757679195911,49.929420617420284,0.15180796265438715,93.3873435149316,53.830065359477125,0.8456698361749818,0.0
