c0,eta,lambda_e,sigma,rho,frac_seeds_collapsed,frac_seeds_U1,mean_U,Y
2.0,0.1,0.25,1.0,0.65,0.0,0.0,0.4663235294117647,124.43397059397932
2.0,0.1,0.25,1.25,0.35,1.0,1.0,1.0,5.39082505048453e-40
2.0,0.1,0.25,1.25,0.4,0.85,0.85,0.897029411764706,12.90748678525984
2.0,0.1,0.25,1.25,0.45,0.05,0.05,0.37870588235294117,78.61279209243735
2.0,0.1,0.25,1.25,0.5,0.0,0.0,0.40319607843137256,79.60449651156422
2.0,0.1,0.25,1.25,0.55,0.0,0.0,0.3747254901960785,128.49590279770206
2.0,0.1,0.25,1.25,0.6,0.0,0.0,0.45307843137254905,120.61826894211353
2.0,0.1,0.25,1.25,0.65,0.0,0.0,0.4770980392156862,121.24097048095587
2.0,0.1,0.25,1.5,0.35,1.0,1.0,1.0,4.5809909697330765e-42
2.0,0.1,0.25,1.5,0.4,1.0,1.0,1.0,2.1107279983963455e-41
2.0,0.1,0.25,1.5,0.45,1.0,1.0,1.0,4.592976352280892e-40
2.0,0.1,0.25,1.5,0.5,1.0,1.0,1.0,1.3690476369544422e-32
2.0,0.1,0.25,1.5,0.55,0.0,0.0,0.38848039215686275,121.95322951232626
2.0,0.1,0.25,1.5,0.6,0.0,0.0,0.4327254901960784,120.52522714525382
2.0,0.1,0.25,1.5,0.65,0.0,0.0,0.47407843137254896,118.9545428739955
2.0,0.1,0.5,0.05,0.35,0.95,0.95,0.9755,4.338064179069141
2.0,0.1,0.5,0.05,0.4,0.0,0.0,0.5101274509803921,88.85913318291672
2.0,0.1,0.5,0.05,0.45,0.0,0.0,0.20490196078431372,144.7314942180178
2.0,0.1,0.5,0.05,0.5,0.0,0.0,0.1105,161.69287915810796
2.0,0.1,0.5,0.05,0.55,0.0,0.0,0.016382352941176483,177.52366621145035
2.0,0.1,0.5,0.05,0.6,0.0,0.0,0.010715686274509814,177.73800479255655
2.0,0.1,0.5,0.05,0.65,0.0,0.0,0.0,181.09095099604656
2.0,0.1,0.5,0.3,0.35,0.0,0.0,0.27794117647058825,130.42849345432455
2.0,0.1,0.5,0.3,0.4,0.0,0.0,0.330235294117647,127.05913633711607
2.0,0.1,0.5,0.3,0.45,0.0,0.0,0.3388921568627451,128.66782522713592
2.0,0.1,0.5,0.3,0.5,0.0,0.0,0.1413529411764706,160.78260913682658
2.0,0.1,0.5,0.3,0.55,0.0,0.0,0.009784313725490204,181.02305396839978
2.0,0.1,0.5,0.3,0.6,0.0,0.0,0.0036568627450980426,184.05120290774917
2.0,0.1,0.5,0.3,0.65,0.0,0.0,0.0,192.3459594651347
2.0,0.1,0.5,0.4,0.35,0.0,0.0,0.23295098039215686,135.24772369233025
2.0,0.1,0.5,0.4,0.4,0.0,0.0,0.33272549019607844,126.73846456778483
2.0,0.1,0.5,0.4,0.45,0.0,0.0,0.34141176470588236,128.86534965012717
2.0,0.1,0.5,0.4,0.5,0.0,0.0,0.036098039215686294,177.12247182282593
2.0,0.1,0.5,0.4,0.55,0.0,0.0,0.009980392156862753,181.76915390931907
2.0,0.1,0.5,0.4,0.6,0.0,0.0,0.0,188.56154655658574
2.0,0.1,0.5,0.4,0.65,0.0,0.0,0.0,196.7801368098701
2.0,0.1,0.5,0.5,0.35,0.0,0.0,0.1359607843137255,141.39279347974508
2.0,0.1,0.5,0.5,0.4,0.0,0.0,0.20791176470588235,142.09891201180264
2.0,0.1,0.5,0.5,0.45,0.0,0.0,0.3503823529411765,127.64937619984842
2.0,0.1,0.5,0.5,0.5,0.0,0.0,0.0195294117647059,180.3232762101755
2.0,0.1,0.5,0.5,0.55,0.0,0.0,0.010019607843137265,182.6434606556296
2.0,0.1,0.5,0.5,0.6,0.0,0.0,0.0,191.93046811662796
2.0,0.1,0.5,0.5,0.65,0.0,0.0,0.0,201.26157651042033
2.0,0.1,0.5,0.6,0.35,0.05,0.05,0.1989509803921569,127.87969909485085
2.0,0.1,0.5,0.6,0.4,0.0,0.0,0.08070588235294121,154.20940107378274
2.0,0.1,0.5,0.6,0.45,0.0,0.0,0.35181372549019607,127.45368991016332
2.0,0.1,0.5,0.6,0.5,0.0,0.0,0.019970588235294136,181.0504528870542
2.0,0.1,0.5,0.6,0.55,0.0,0.0,0.010019607843137265,183.46381214986485
2.0,0.1,0.5,0.6,0.6,0.0,0.0,0.0,195.25914120727538
2.0,0.1,0.5,0.6,0.65,0.0,0.0,0.0,206.3794407043647
2.0,0.1,0.5,0.7,0.35,0.2,0.2,0.3904607843137255,93.84700230419682
2.0,0.1,0.5,0.7,0.4,0.0,0.0,0.1900294117647059,127.11185696622428
2.0,0.1,0.5,0.7,0.45,0.0,0.0,0.3531078431372549,125.52761213687079
2.0,0.1,0.5,0.7,0.5,0.0,0.0,0.22558823529411764,143.06993647875584
2.0,0.1,0.5,0.7,0.55,0.0,0.0,0.01002941176470589,184.34735124207884
2.0,0.1,0.5,0.7,0.6,0.0,0.0,0.0,199.4391060407456
2.0,0.1,0.5,0.7,0.65,0.0,0.0,0.27191176470588235,160.12499836427327
2.0,0.1,0.5,0.8,0.35,0.7,0.7,0.7574705882352941,36.3324916596153
2.0,0.1,0.5,0.8,0.4,0.0,0.0,0.22607843137254907,116.18091061035986
2.0,0.1,0.5,0.8,0.45,0.0,0.0,0.264921568627451,113.09202546815678
2.0,0.1,0.5,0.8,0.5,0.0,0.0,0.30308823529411766,110.93803808613191
2.0,0.1,0.5,0.8,0.55,0.0,0.0,0.009990196078431383,185.37665265884345
2.0,0.1,0.5,0.8,0.6,0.0,0.0,0.0,204.9612668442666
2.0,0.1,0.5,0.8,0.65,0.0,0.0,0.43895098039215685,128.77502528914113
2.0,0.1,0.5,0.9,0.35,1.0,1.0,1.0,0.0
2.0,0.1,0.5,0.9,0.4,0.05,0.05,0.2761764705882353,104.57876461581236
2.0,0.1,0.5,0.9,0.45,0.0,0.0,0.2795294117647059,106.94269962104924
2.0,0.1,0.5,0.9,0.5,0.0,0.0,0.322578431372549,103.97045199373352
2.0,0.1,0.5,0.9,0.55,0.0,0.0,0.04384313725490198,179.35558425744466
2.0,0.1,0.5,0.9,0.6,0.0,0.0,0.4445490196078431,124.17035510641396
2.0,0.1,0.5,0.9,0.65,0.0,0.0,0.4564117647058824,126.3405041718925
2.0,0.1,0.5,1.0,0.35,1.0,1.0,1.0,0.0
2.0,0.1,0.5,1.0,0.4,0.05,0.05,0.2788235294117647,101.49147073089522
2.0,0.1,0.5,1.0,0.45,0.0,0.0,0.3351372549019608,99.14938357529904
2.0,0.1,0.5,1.0,0.5,0.0,0.0,0.42964705882352944,103.2086912061038
2.0,0.1,0.5,1.0,0.55,0.0,0.0,0.06534313725490197,176.6459167521038
2.0,0.1,0.5,1.0,0.6,0.0,0.0,0.4478725490196078,123.23214956642012
2.0,0.1,0.5,1.0,0.65,0.0,0.0,0.4650882352941177,124.94788979167932
2.0,0.1,0.5,1.25,0.35,1.0,1.0,1.0,3.445408703949862e-41
2.0,0.1,0.5,1.25,0.4,0.8,0.8,0.8618627450980393,17.52389290223501
2.0,0.1,0.5,1.25,0.45,0.05,0.05,0.3711274509803922,79.40071479018043
2.0,0.1,0.5,1.25,0.5,0.0,0.0,0.3749607843137255,96.43758217820772
2.0,0.1,0.5,1.25,0.55,0.0,0.0,0.39372549019607844,125.06571334969048
2.0,0.1,0.5,1.25,0.6,0.0,0.0,0.4509411764705883,120.72634961024305
2.0,0.1,0.5,1.25,0.65,0.0,0.0,0.4776862745098039,121.29969743646477
2.0,0.1,0.5,1.5,0.35,1.0,1.0,1.0,5.2010572265809395e-42
2.0,0.1,0.5,1.5,0.4,1.0,1.0,1.0,2.618893804394821e-41
2.0,0.1,0.5,1.5,0.45,1.0,1.0,1.0,7.202560772325028e-40
2.0,0.1,0.5,1.5,0.5,0.85,0.85,0.9111274509803922,11.386406085323582
2.0,0.1,0.5,1.5,0.55,0.0,0.0,0.3845686274509804,122.66532934769968
2.0,0.1,0.5,1.5,0.6,0.0,0.0,0.435343137254902,120.02962891448064
2.0,0.1,0.5,1.5,0.65,0.0,0.0,0.47379411764705887,118.94266789249411
2.0,0.1,1.0,0.05,0.35,0.95,0.95,0.9755,4.3380641791464045
2.0,0.1,1.0,0.05,0.4,0.0,0.0,0.5101470588235294,88.85575346648838
2.0,0.1,1.0,0.05,0.45,0.0,0.0,0.2062549019607843,144.48611258857122
2.0,0.1,1.0,0.05,0.5,0.0,0.0,0.0715,168.4521770857374
2.0,0.1,1.0,0.05,0.55,0.0,0.0,0.015813725490196093,177.59313643060156
2.0,0.1,1.0,0.05,0.6,0.0,0.0,0.007127450980392164,178.27626712467793
2.0,0.1,1.0,0.05,0.65,0.0,0.0,0.0,181.13378848009845
2.0,0.1,1.0,0.3,0.35,0.0,0.0,0.2733627450980392,131.04938108436335
2.0,0.1,1.0,0.3,0.4,0.0,0.0,0.3317254901960784,126.86747714176383
2.0,0.1,1.0,0.3,0.45,0.0,0.0,0.3084019607843137,133.07987633989234
2.0,0.1,1.0,0.3,0.5,0.0,0.0,0.06716666666666668,171.3362910621775
2.0,0.1,1.0,0.3,0.55,0.0,0.0,0.010078431372549029,180.91591780017512
2.0,0.1,1.0,0.3,0.6,0.0,0.0,0.002843137254901963,184.30985763535674
2.0,0.1,1.0,0.3,0.65,0.0,0.0,0.0,192.32871435529393
2.0,0.1,1.0,0.4,0.35,0.05,0.05,0.26082352941176473,129.62935030078253
