c0,eta,lambda_e,sigma,rho,Y,U,Wage_Rate,Wage_Floor_Binding,collapsed,floored,binding,frac_seeds_collapsed,mixed_basin
1.0,0.0,0.25,0.8,0.6,88.6046186448351,0.5947058823529411,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.8,0.65,89.18016961919291,0.6069281045751634,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.9,0.35,94.5896613098303,0.4239869281045752,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.9,0.4,91.3509310017143,0.48444444444444446,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.9,0.45,87.64889133044733,0.5379738562091504,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.9,0.5,86.16986882121823,0.5718300653594772,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.9,0.55,86.60964068892991,0.5894771241830066,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.9,0.6,88.80159963466885,0.6000653594771241,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,0.9,0.65,88.24758874424293,0.6147712418300654,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.0,0.35,97.34347133614999,0.39562091503267977,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.0,0.4,92.42817594469301,0.4734640522875817,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.0,0.45,87.63271237083406,0.5348366013071897,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.0,0.5,87.406230764366,0.5625490196078431,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.0,0.55,86.55508487717292,0.5866013071895425,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.0,0.6,85.64235777222427,0.612483660130719,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.0,0.65,85.55036577906075,0.6218300653594772,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.25,0.35,99.5650657781063,0.36281045751633983,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.25,0.4,95.73603514944038,0.43313725490196076,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.25,0.45,88.60527903667663,0.5055555555555555,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.25,0.5,87.83420949751286,0.5445751633986928,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.25,0.55,84.4841814832825,0.5899346405228757,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.25,0.6,82.76293998474473,0.6197385620915034,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.25,0.65,85.58622037089094,0.6201960784313726,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.5,0.35,105.26024073103713,0.2882352941176471,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.5,0.4,96.25513853831303,0.4009803921568628,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.5,0.45,93.57196430503768,0.45522875816993474,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.5,0.5,89.19192080346694,0.5169281045751635,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.5,0.55,86.9852785497962,0.5598692810457517,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.5,0.6,86.229983909995,0.5906535947712418,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.25,1.5,0.65,85.42736520017081,0.6205228758169934,0.9,0.0,False,False,demand,0.0,False
