c0,eta,rr,sigma,rho,frac_seeds_collapsed,frac_seeds_U1,mean_U,Y,mean_tax,frac_periods_at_cap
2.0,0.1,0.0,0.9,0.55,0.0,0.0,0.3871764705882353,98.42324584014652,0.0,0.0
2.0,0.1,0.0,0.9,0.6,0.0,0.0,0.4455882352941177,123.81979680314528,0.0,0.0
2.0,0.1,0.0,0.9,0.65,0.0,0.0,0.4538333333333333,126.5919100214679,0.0,0.0
2.0,0.1,0.0,1.0,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.1,0.0,1.0,0.4,0.05,0.05,0.29577450980392156,97.78516530288138,0.0,0.0
2.0,0.1,0.0,1.0,0.45,0.0,0.0,0.3691372549019608,97.4839014648185,0.0,0.0
2.0,0.1,0.0,1.0,0.5,0.0,0.0,0.3840588235294118,95.63851578491416,0.0,0.0
2.0,0.1,0.0,1.0,0.55,0.0,0.0,0.4466176470588235,91.41813920145852,0.0,0.0
2.0,0.1,0.0,1.0,0.6,0.0,0.0,0.4514607843137255,122.68527898632426,0.0,0.0
2.0,0.1,0.0,1.0,0.65,0.0,0.0,0.4658039215686275,124.66476376092696,0.0,0.0
2.0,0.1,0.0,1.25,0.35,1.0,1.0,1.0,2.093733105281683e-41,0.0,0.0
2.0,0.1,0.0,1.25,0.4,0.9,0.9,0.9643725490196079,4.379790062322716,0.0,0.0
2.0,0.1,0.0,1.25,0.45,0.05,0.05,0.3831666666666667,76.21864856222325,0.0,0.0
2.0,0.1,0.0,1.25,0.5,0.0,0.0,0.3759705882352941,78.70258820693797,0.0,0.0
2.0,0.1,0.0,1.25,0.55,0.0,0.0,0.4009117647058823,79.20108338647478,0.0,0.0
2.0,0.1,0.0,1.25,0.6,0.0,0.0,0.4516960784313725,120.43102283501575,0.0,0.0
2.0,0.1,0.0,1.25,0.65,0.0,0.0,0.48072549019607846,120.48159527679711,0.0,0.0
2.0,0.1,0.0,1.5,0.35,1.0,1.0,1.0,4.3150751736438536e-42,0.0,0.0
2.0,0.1,0.0,1.5,0.4,1.0,1.0,1.0,1.832259676571705e-41,0.0,0.0
2.0,0.1,0.0,1.5,0.45,1.0,1.0,1.0,1.5749402399415351e-40,0.0,0.0
2.0,0.1,0.0,1.5,0.5,0.95,0.95,0.9710392156862746,4.6786251127274365,0.0,0.0
2.0,0.1,0.0,1.5,0.55,0.05,0.05,0.41382352941176476,116.69367688948398,0.0,0.0
2.0,0.1,0.0,1.5,0.6,0.0,0.0,0.43128431372549014,120.77413918274813,0.0,0.0
2.0,0.1,0.0,1.5,0.65,0.0,0.0,0.4689117647058823,119.63814328374693,0.0,0.0
2.0,0.1,0.5,0.05,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.1,0.5,0.05,0.4,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.1,0.5,0.05,0.45,0.1,0.1,0.5515,80.62009294642091,0.2537569162056899,0.0
2.0,0.1,0.5,0.05,0.5,0.0,0.0,0.020960784313725507,176.37023070962738,0.0083719155564847,0.0
2.0,0.1,0.5,0.05,0.55,0.0,0.0,0.015313725490196092,177.4088984091049,0.006442115051731432,0.0
2.0,0.1,0.5,0.05,0.6,0.0,0.0,0.005754901960784318,178.43449448376919,0.002449256804836028,0.0
2.0,0.1,0.5,0.05,0.65,0.0,0.0,0.0,181.22936796474602,0.0,0.0
2.0,0.1,0.5,0.3,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.1,0.5,0.3,0.4,0.0,0.0,0.22819607843137252,145.57492092288305,0.08767776199314208,0.0
2.0,0.1,0.5,0.3,0.45,0.0,0.0,0.12574509803921569,159.09478513401385,0.05457896401631701,0.0
2.0,0.1,0.5,0.3,0.5,0.0,0.0,0.031049019607843155,176.9041899092798,0.012957632203236372,0.0
2.0,0.1,0.5,0.3,0.55,0.0,0.0,0.009656862745098048,181.0915730007933,0.004061246062039394,0.0
2.0,0.1,0.5,0.3,0.6,0.0,0.0,0.0015000000000000013,184.41622174983974,0.0006195183797798156,0.0
2.0,0.1,0.5,0.3,0.65,0.0,0.0,0.0,192.36322011081052,0.0,0.0
2.0,0.1,0.5,0.4,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.1,0.5,0.4,0.4,0.0,0.0,0.10157843137254904,156.450098055737,0.04225025435938785,0.0
2.0,0.1,0.5,0.4,0.45,0.0,0.0,0.09946078431372549,159.98758690144146,0.049759469049244255,0.0
2.0,0.1,0.5,0.4,0.5,0.0,0.0,0.020990196078431392,178.7012416021503,0.009123902164845432,0.0
2.0,0.1,0.5,0.4,0.55,0.0,0.0,0.009970588235294127,181.8266678539842,0.004173435054020175,0.0
2.0,0.1,0.5,0.4,0.6,0.0,0.0,0.0,188.43680676730972,0.0,0.0
2.0,0.1,0.5,0.4,0.65,0.0,0.0,0.0,196.726990320758,0.0,0.0
2.0,0.1,0.5,0.5,0.35,0.95,0.95,0.9598823529411765,6.504751501528803,0.004067259687030868,0.0
2.0,0.1,0.5,0.5,0.4,0.0,0.0,0.14108823529411765,142.95478331158816,0.07147746270470481,0.0
2.0,0.1,0.5,0.5,0.45,0.0,0.0,0.1611862745098039,141.98635282008584,0.09925616771260157,0.0
2.0,0.1,0.5,0.5,0.5,0.0,0.0,0.020862745098039235,179.7075834769604,0.00902473070817229,0.0
2.0,0.1,0.5,0.5,0.55,0.0,0.0,0.009960784313725499,182.65133512634867,0.0041528320433149935,0.0
2.0,0.1,0.5,0.5,0.6,0.0,0.0,0.0,192.13632893747908,0.0,0.0
2.0,0.1,0.5,0.5,0.65,0.0,0.0,0.0,201.27961768199458,0.0,0.0
2.0,0.1,0.5,0.6,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.1,0.5,0.6,0.4,0.0,0.0,0.1721470588235294,133.22551247694008,0.09107163337465772,0.0
2.0,0.1,0.5,0.6,0.45,0.0,0.0,0.1946862745098039,136.40375060035927,0.11676511662961789,0.0
2.0,0.1,0.5,0.6,0.5,0.0,0.0,0.06575490196078433,172.08976449766823,0.03256233842431536,0.0
2.0,0.1,0.5,0.6,0.55,0.0,0.0,0.009960784313725499,183.56196354993682,0.004141596268827298,0.0
2.0,0.1,0.5,0.6,0.6,0.0,0.0,0.0005000000000000004,194.3892622473211,0.00020545089651611154,0.0
2.0,0.1,0.5,0.6,0.65,0.0,0.0,0.0,206.3355442122102,0.0,0.0
2.0,0.1,0.5,0.7,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.1,0.5,0.7,0.4,0.05,0.05,0.25601960784313726,122.8681859196635,0.09203548868683861,0.0
2.0,0.1,0.5,0.7,0.45,0.0,0.0,0.2608725490196079,137.22082167086958,0.12088959281506254,0.0
2.0,0.1,0.5,0.7,0.5,0.0,0.0,0.3070588235294118,129.4223697823365,0.15435074540108842,0.0
2.0,0.1,0.5,0.7,0.55,0.0,0.0,0.26550980392156864,132.51511313108853,0.16184509095416244,0.0
2.0,0.1,0.5,0.7,0.6,0.0,0.0,0.0,199.2664203396127,0.0,0.0
2.0,0.1,0.5,0.7,0.65,0.0,0.0,0.23829411764705882,168.83100089076964,0.09469048097337486,0.0
2.0,0.1,0.5,0.8,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.1,0.5,0.8,0.4,0.1,0.1,0.34729411764705886,107.9573996456331,0.1129977265193018,0.00196078431372549
2.0,0.1,0.5,0.8,0.45,0.0,0.0,0.2964019607843137,127.60050727368014,0.13639406383668512,0.00784313725490196
2.0,0.1,0.5,0.8,0.5,0.0,0.0,0.3479901960784314,116.11966212652335,0.19135829360574047,0.05
2.0,0.1,0.5,0.8,0.55,0.0,0.0,0.2981764705882353,107.95011427866476,0.24902018259864991,0.18725490196078431
2.0,0.1,0.5,0.8,0.6,0.0,0.0,0.10322549019607843,181.55860104951836,0.05727049564871065,0.000980392156862745
2.0,0.1,0.5,0.8,0.65,0.0,0.0,0.33267647058823524,153.1941805930316,0.13237756100455841,0.0
2.0,0.1,0.5,0.9,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.1,0.5,0.9,0.4,0.3,0.3,0.4837156862745098,78.1524867255453,0.08903141861690195,0.0
2.0,0.1,0.5,0.9,0.45,0.0,0.0,0.3207745098039216,112.76652500485709,0.16912037711013803,0.06470588235294118
2.0,0.1,0.5,0.9,0.5,0.0,0.0,0.32451960784313727,107.8458485542966,0.20944847380310977,0.16764705882352943
2.0,0.1,0.5,0.9,0.55,0.0,0.0,0.3741078431372549,109.52043481009734,0.21984400111772687,0.1303921568627451
2.0,0.1,0.5,0.9,0.6,0.0,0.0,0.3803725490196078,125.9931993104622,0.1884049930421383,0.05
2.0,0.1,0.5,0.9,0.65,0.0,0.0,0.3459901960784314,152.09826838288558,0.13779502850578,0.0
2.0,0.1,0.5,1.0,0.35,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.1,0.5,1.0,0.4,0.95,0.95,0.9635686274509805,5.050154229976733,0.008441752238610788,0.0058823529411764705
2.0,0.1,0.5,1.0,0.45,0.0,0.0,0.31391176470588233,108.663932695676,0.1656464229854721,0.05980392156862745
2.0,0.1,0.5,1.0,0.5,0.0,0.0,0.36408823529411766,105.25238128562732,0.20287425300123627,0.08137254901960785
2.0,0.1,0.5,1.0,0.55,0.0,0.0,0.375156862745098,99.66020195618785,0.23941695831534635,0.15784313725490196
2.0,0.1,0.5,1.0,0.6,0.0,0.0,0.4059607843137255,109.38710937463625,0.2278329170759407,0.10098039215686275
2.0,0.1,0.5,1.0,0.65,0.0,0.0,0.3555980392156862,150.87644705127485,0.14181087335017709,0.0
2.0,0.1,0.5,1.25,0.35,1.0,1.0,1.0,1.5993288341251678e-43,0.6000000000000001,1.0
2.0,0.1,0.5,1.25,0.4,1.0,1.0,1.0,5.596530581582554e-43,0.6000000000000001,1.0
2.0,0.1,0.5,1.25,0.45,1.0,1.0,1.0,7.891367192101264e-35,0.6000000000000001,1.0
2.0,0.1,0.5,1.25,0.5,0.25,0.25,0.5140196078431373,63.27869277861366,0.3225252881944892,0.34509803921568627
2.0,0.1,0.5,1.25,0.55,0.0,0.0,0.36602941176470594,79.26285231265865,0.2501184057768399,0.20686274509803923
