c0,prices,eta,n_cells,n_any_collapse,n_full_collapse,mean_frac_collapsed
2.0,off,0.0,77,2,1,0.016233766233766232
2.0,off,0.05,77,8,3,0.06926406926406928
2.0,off,0.1,77,12,8,0.12554112554112554
2.0,off,0.15,77,14,5,0.12554112554112554
2.0,on,0.0,77,2,1,0.016233766233766232
2.0,on,0.05,77,3,1,0.022727272727272724
2.0,on,0.1,77,3,1,0.024891774891774892
2.0,on,0.15,77,2,1,0.016233766233766232
