scenario,c0,sigma,eta,rho,rr,n_seeds,Unemployment_Rate,Unemployment_Rate_lo,Unemployment_Rate_hi,Output,Output_lo,Output_hi,Total_Capital,Total_Capital_lo,Total_Capital_hi,Wage_Share,Wage_Share_lo,Wage_Share_hi,Tax_Rate,Tax_Rate_lo,Tax_Rate_hi,Benefit_Per_Head,Benefit_Per_Head_lo,Benefit_Per_Head_hi,Cash_Constrained,Cash_Constrained_lo,Cash_Constrained_hi
anchor,2.0,1.0,0.0,0.4,0.0,20,0.25749999999999995,0.24941176470588233,0.2672549019607844,132.08978811269847,130.94941851674412,133.8739561223781,418.40884238137005,410.05988291532094,426.6929935600619,0.5058393037514659,0.5030933275086262,0.5098669266849839,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999998,0.9,0.9
anchor,2.0,1.0,0.0,0.4,0.25,20,0.22094117647058825,0.21078431372549022,0.22803921568627453,138.75705972504198,137.56348554617693,140.28528128341964,440.5952600653024,434.64557092390754,450.39711553255,0.5052484836449394,0.5023189069108678,0.5087572817345779,0.04267633994234664,0.0402811205782613,0.044381432151739966,0.22499999999999995,0.225,0.225,0.8999999999999998,0.9,0.9
anchor,2.0,1.0,0.0,0.4,0.5,20,0.19662745098039217,0.1862745098039216,0.20627450980392154,143.11608525508183,140.8081121125671,144.62802576402797,454.5973923768165,441.9063215930546,465.3571729022704,0.5051667252484557,0.501878068060073,0.5096823025269064,0.07362334733323281,0.06930105689153443,0.07829897856744993,0.4499999999999999,0.45,0.45,0.8999999999999998,0.9,0.9
anchor,2.0,1.0,0.0,0.4,0.75,20,0.17680392156862745,0.16843137254901963,0.18235294117647052,146.96249616265175,145.47911780929527,149.26278092230768,468.75358870495603,459.37691292015353,480.9541328471585,0.5040996124143127,0.5008993382223085,0.507104228656831,0.09673275908216952,0.09080054948310703,0.10050862178487377,0.675,0.6749999999999998,0.6749999999999998,0.8999999999999998,0.9,0.9
headline,1.0,0.5,0.1,0.4,0.0,20,0.5660588235294117,0.5431372549019609,0.58,82.08292683805855,78.61195304802838,84.92448394145883,298.7470165586475,277.56502258285815,315.08861621915713,0.4401570834842681,0.43484389932341966,0.4495231413795246,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999998,0.9,0.9
headline,1.0,0.5,0.1,0.4,0.25,20,0.4827941176470588,0.4717647058823529,0.48960784313725497,98.12471329157995,96.8143667827638,100.22406974537182,359.2130904689888,353.5682599797925,368.84879879644126,0.4459207589156159,0.4428679326261184,0.4485060724444704,0.12767280274223708,0.12246779209724257,0.13071127316697312,0.2115533041308951,0.21124479038124633,0.21201179234446513,0.8999999999999998,0.9,0.9
headline,1.0,0.5,0.1,0.4,0.5,20,0.4265784313725491,0.421764705882353,0.43098039215686273,108.70145886249315,107.61553815280895,109.8097494441009,396.59457083095197,385.9988068065657,403.68569788690263,0.451907120024187,0.4497400079865404,0.4552596596060633,0.20573386882296454,0.2022068437934039,0.20909366593232656,0.4283693817343067,0.4279539963000941,0.4289258717115157,0.8999999999999998,0.9,0.9
headline,1.0,0.5,0.1,0.4,0.75,20,0.3731274509803922,0.3649019607843138,0.3794117647058824,119.00501650337898,117.78524455395699,120.46849222057594,435.7143815171142,428.4359966827816,445.8216198909839,0.4573622638266652,0.4555181608238982,0.4603411192189584,0.25018988810459186,0.2438089730860792,0.25612716031108945,0.6512409870063373,0.6501805419826041,0.652877103457893,0.8999999999999998,0.9,0.9
