sigma,rho,Y,K,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Tax_Rate,Tax_At_Cap,Y_seed_min,Y_seed_max,n_seeds,frac_seeds_collapsed,collapsed,mixed_basin,Y_band_rel,binding,c0,eta,rr
0.05,0.35,58.83201771153534,190.71084977437417,9.535542483145708,49.29647522838963,32.8,0.672,0.3513145430204419,0.5120135414510577,0.3486854569795581,0.4779146067966081,0.9130215776552951,0.3517949979576161,0.3268499445061325,63.606104500417906,61.24904191721406,0.6731500554826347,0.0,0.9,0.14999999999999997,0.11499999999999999,0.7350000000000001,0.0,0.9,0.0,0.0,0.0,0.0,92.32463533748826,20,0.3,False,True,1.5692923501310738,capital,1.0,0.0,0.0
0.05,0.4,89.74605803780018,324.62658402360444,16.22699145392864,73.51906658387156,49.37647058823529,0.5062352941176471,0.49516884241011905,0.5120135414510577,0.504831157589881,0.665678699095511,0.9084123366378408,0.17040843190957342,0.13849116172230153,108.26936640134409,104.25836032443287,0.8615046177785934,0.0,0.9,0.7954901960784314,0.0941176470588235,0.1103921568627451,0.0,0.9,0.0,0.0,0.0,83.5515277246705,96.41395306043592,20,0.0,False,False,0.1433202261691302,demand,1.0,0.0,0.0
0.05,0.45,94.18363947394269,371.824849395863,18.581846605701475,75.60179286824122,51.74313725490195,0.48256862745098034,0.4944486978952152,0.5120135414510577,0.5055513021047849,0.6461048722866163,0.907352430960265,0.2401183819072133,0.21092328053291481,124.0054473182739,119.41750602926939,0.7890380528791632,0.0,0.9,0.99,0.009999999999999998,0.0,0.0,0.9,0.0,0.0,0.0,87.26212834254689,98.30113746901314,20,0.0,False,False,0.11720728980239037,demand,1.0,0.0,0.0
0.05,0.5,99.45502264660524,423.9110656106471,21.19669400986424,78.25832863674101,54.62549019607843,0.45374509803921564,0.49432363502802323,0.5120135414510577,0.5056763649719768,0.6227354046926376,0.9073315143100997,0.2955271697945041,0.2689526870435528,141.27074917284241,136.1438372519678,0.7310515208895934,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,94.67286042729981,109.24423969725143,20,0.0,False,False,0.14651225128899,demand,1.0,0.0,0.0
0.05,0.55,104.6941281871688,479.34184713360884,23.967092356680478,80.72703583048832,57.5,0.425,0.494297134946651,0.5120135414510577,0.505702865053349,0.5982542072485402,0.9064625706244313,0.34073906628403666,0.3195156737254116,158.8538213169912,153.94629577726218,0.6804843262745884,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,98.3206058811053,112.88825307885028,20,0.0,False,False,0.13914483505418201,demand,1.0,0.0,0.0
0.05,0.6,112.2517498316408,550.8729714441002,27.54364857220505,84.70810125943572,61.65,0.38350000000000006,0.49429074901460857,0.5120135414510577,0.5057092509853914,0.5641504912164808,0.90591938813416,0.3608606571731186,0.3572543362469519,175.58951346365504,174.63289077320968,0.6347323804378792,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,105.60567627866742,120.17236623987739,20,0.0,False,False,0.1297680435544,demand,1.0,0.0,0.0
0.05,0.65,119.53529560359519,624.6697067914449,31.233485339572304,88.30181026402286,65.65,0.34349999999999997,0.49428915811630514,0.5120135414510577,0.5057108418836949,0.529817719819806,0.9052703222370114,0.33986945361687104,0.33986945361687104,181.05143007861707,181.05143007861707,0.5961210708748906,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,109.24768951896769,125.63500777549943,20,0.0,False,False,0.13709187879432383,demand,1.0,0.0,0.0
0.3,0.35,90.6328810081309,290.859233531755,14.529255983416107,76.10362502471479,50.753921568627455,0.49246078431372553,0.503816010511918,0.5488409715364094,0.49618398948808196,0.6590585448923301,0.9087830519190577,0.28072874428811034,0.1302108975297069,126.0155547453597,104.24183417610027,0.8698142881558832,0.0,0.9,0.9290196078431372,0.07098039215686273,0.0,0.0,0.9,0.0,0.0,0.0,88.02083633837769,92.91321439296266,20,0.0,False,False,0.053980167022893814,demand,1.0,0.0,0.0
0.3,0.4,87.77700427159047,316.61980207332806,15.810538800082302,71.96646547150817,46.85686274509804,0.5314313725490196,0.48034632223599355,0.5488409715364094,0.5196536777640064,0.6878736442619815,0.908733221612691,0.34264540394224197,0.22630689992260522,133.52384969804103,113.47537999566453,0.7738465516536805,0.0,0.9,0.9992156862745099,0.000784313725490196,0.0,0.0,0.9,0.0,0.0,0.0,85.95919057857277,92.11560192252935,20,0.0,False,False,0.07013694982011519,demand,1.0,0.0,0.0
0.3,0.45,89.71754400298252,358.58188078752994,17.957308341616802,71.76023566136573,46.47352941176471,0.535264705882353,0.4661781392073652,0.5488409715364094,0.5338218607926348,0.6911206388315085,0.908508960629467,0.37840845835146675,0.3015923596686058,144.31867927873503,128.50383935562016,0.6984313233213558,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,86.66507344698526,94.44633985449266,20,0.0,False,False,0.08673071130044227,demand,1.0,0.0,0.0
0.3,0.5,90.66116402550196,394.877963446599,19.685714062425,70.97544996307697,46.09313725490196,0.5390686274509805,0.4575426307359405,0.5488409715364094,0.5424573692640595,0.6927129441662764,0.9081828663286637,0.4052094658621746,0.3592380866092672,152.40992761448175,141.5295967646302,0.6407320311131716,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,87.03422240835901,94.7871719353616,20,0.0,False,False,0.08551566274641882,demand,1.0,0.0,0.0
0.3,0.55,93.55734111477315,438.8767432564132,21.96956592325169,71.58777519152146,46.94607843137255,0.5305392156862745,0.45162488573083837,0.5488409715364094,0.5483751142691616,0.6853978184260575,0.9077989274502205,0.4180298255971757,0.40298695791385075,160.72633577436906,156.7461537303062,0.5952029752976741,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,89.54683369939028,100.0889324828578,20,0.0,False,False,0.11268061552256828,demand,1.0,0.0,0.0
0.3,0.6,96.79937414803429,486.71771059768815,24.351326532527192,72.4480476155071,48.09019607843137,0.5190980392156863,0.4471476558820905,0.5488409715364094,0.5528523441179095,0.6756834707329928,0.9073264257539163,0.42488631652720094,0.4242537011416242,168.26003262663585,168.07840936618516,0.5554186213823435,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,90.36489949820226,102.96042527267386,20,0.0,False,False,0.13011990919703043,demand,1.0,0.0,0.0
0.3,0.65,102.88583665850089,554.6687775936456,27.778473671744358,75.10736298675653,50.694117647058825,0.49305882352941177,0.44346518158079107,0.5488409715364094,0.5565348184192089,0.6559136057620749,0.9072691311175036,0.4184280837404216,0.4184280837404216,176.8617642244839,176.8617642244839,0.5180083110279334,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,98.69885258611512,109.85563159565018,20,0.0,False,False,0.10843843401465146,demand,1.0,0.0,0.0
0.4,0.35,91.25373447434586,287.9420609653574,14.385730185203121,76.86800428914275,51.48823529411764,0.4851176470588235,0.5076174974079888,0.5643032549995192,0.4923825025920112,0.653283404942266,0.9082165456066358,0.30364782676937213,0.1576648287340086,131.04064648393395,108.3587158549258,0.8425219308568304,0.0,0.9,0.9929411764705882,0.007058823529411766,0.0,0.0,0.9,0.0,0.0,0.0,89.22256496117708,95.97522665770856,20,0.0,False,False,0.07399874356298097,demand,1.0,0.0,0.0
0.4,0.4,88.1207093071207,314.2124132489847,15.700975721502369,72.41973358561833,47.08039215686274,0.5291960784313725,0.4806883234199074,0.5643032549995192,0.5193116765800926,0.6867300028235009,0.9083958693815053,0.35977224418475917,0.25446386084907546,137.62772861306829,118.24411201206894,0.7455158029764668,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,84.82139277449565,91.44070373890513,20,0.0,False,False,0.0751164058534717,demand,1.0,0.0,0.0
0.4,0.45,88.36586963491294,351.2516758138366,17.534735632092524,70.83113400282043,45.42254901960784,0.5457745098039216,0.4625768970035355,0.5643032549995192,0.5374231029964645,0.6993001122054049,0.9084525391601238,0.3945604137790444,0.331202204467617,145.9374972719259,132.18656955699055,0.6690524120454083,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,85.09736163992139,92.97286179567325,20,0.0,False,False,0.08912377808637886,demand,1.0,0.0,0.0
0.4,0.5,89.7539368044988,388.8960000875501,19.495979403117474,70.25795740138133,44.983333333333334,0.5501666666666667,0.4510572053542325,0.5643032549995192,0.5489427946457675,0.702162816908521,0.9084120187922655,0.41477177076218136,0.38636284804912113,153.34141046890883,146.3349736939884,0.6137544695999606,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,85.4149164144309,93.348641046324,20,0.0,False,False,0.08839416870564981,demand,1.0,0.0,0.0
0.4,0.55,92.28849538530812,435.1036446835954,21.778395839755085,70.51009954555303,45.30098039215686,0.5469901960784315,0.44175543426177055,0.5643032549995192,0.5582445657382294,0.6994496407007653,0.9079967393738582,0.42772502574793325,0.42627060724529453,161.24523112252217,160.8485379743914,0.5640249724430519,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,88.7606378165956,96.97813212640092,20,0.0,False,False,0.08904137265969017,demand,1.0,0.0,0.0
0.4,0.6,95.22942372250603,483.1134537230634,24.184283177562488,71.04514054494355,46.010784313725495,0.5398921568627452,0.43483385027215543,0.5643032549995192,0.5651661497278445,0.6935372541798355,0.9076849336071854,0.43412496717961513,0.43412496717961513,168.2553982749484,168.2553982749484,0.5240695040279747,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,90.92033272539719,100.09440435281473,20,0.0,False,False,0.09633652361638091,demand,1.0,0.0,0.0
0.4,0.65,97.69481649093822,528.5867364240936,26.462461046764872,71.23235544417335,46.627450980392155,0.5337254901960785,0.4295635144514393,0.5643032549995192,0.5704364855485606,0.6874637398261334,0.9072953344189447,0.4385534239902761,0.4385534239902761,173.95876764187537,173.95876764187537,0.4914603300454159,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,91.98379746145585,103.66042058027381,20,0.0,False,False,0.11952141923416207,demand,1.0,0.0,0.0
0.5,0.35,91.82247991720253,282.9705858446437,14.117541301130023,77.7049386160725,52.42647058823529,0.4757352941176471,0.5136318940397739,0.580201151367446,0.48636810596022606,0.6458436841544885,0.908455293416065,0.31286363024603536,0.18133868056243638,133.62559003223504,112.18748318413898,0.8185755244926511,0.0,0.9,0.9982352941176471,0.0017647058823529412,0.0,0.0,0.9,0.0,0.0,0.0,89.08698287626143,95.60005944400605,20,0.0,False,False,0.0709311769146024,demand,1.0,0.0,0.0
