c0,eta,rr,sigma,rho,Y,U,Wage_Rate,collapsed,binding,frac_seeds_collapsed,mixed_basin
2.0,0.1,0.0,0.6,0.5,180.98534204320103,0.02019607843137257,1.1652512097311314,False,profitmax,0.0,False
2.0,0.1,0.0,0.6,0.55,183.31677741865101,0.010130718954248375,1.214115585627735,False,profitmax,0.0,False
2.0,0.1,0.0,0.6,0.6,193.77325096375304,0.0,1.246860091631139,False,workforce,0.0,False
2.0,0.1,0.0,0.6,0.65,206.29698538045804,0.0,1.246860091631139,False,demand,0.0,False
2.0,0.1,0.0,0.7,0.35,132.2309993882988,0.1531372549019608,0.9496088077097301,False,profitmax,0.0,False
2.0,0.1,0.0,0.7,0.4,125.9735570998044,0.19150326797385622,0.9755286855288653,False,profitmax,0.0,False
2.0,0.1,0.0,0.7,0.45,122.5017859523656,0.27130718954248373,0.9573050352711734,False,profitmax,0.0,False
2.0,0.1,0.0,0.7,0.5,115.09051399312729,0.2545751633986928,1.025425789538615,False,profitmax,0.0,False
2.0,0.1,0.0,0.7,0.55,184.55335209786222,0.009869281045751643,1.2157528109279052,False,profitmax,0.0,False
2.0,0.1,0.0,0.7,0.6,199.85563182075973,0.0,1.246860091631139,False,demand,0.0,False
2.0,0.1,0.0,0.7,0.65,156.37052310074344,0.28915032679738567,0.9857752268735501,False,demand,0.0,False
2.0,0.1,0.0,0.8,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.0,0.8,0.4,115.48190639287769,0.2286274509803922,0.9578810883549859,False,profitmax,0.0,False
2.0,0.1,0.0,0.8,0.45,110.9149629126109,0.25562091503267975,0.9834786620176796,False,profitmax,0.0,False
2.0,0.1,0.0,0.8,0.5,106.03776416724959,0.2857516339869281,1.0052584372285593,False,profitmax,0.0,False
2.0,0.1,0.0,0.8,0.55,158.06027110964007,0.1080392156862745,1.1539277503377086,False,profitmax,0.0,False
2.0,0.1,0.0,0.8,0.6,205.28358018924598,0.0,1.246860091631139,False,demand,0.0,False
2.0,0.1,0.0,0.8,0.65,128.72731397662534,0.4397385620915033,0.8541314985136985,False,demand,0.0,False
2.0,0.1,0.0,0.9,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.0,0.9,0.4,114.40746558370422,0.21516339869281045,0.9326531609336991,False,profitmax,0.0,False
2.0,0.1,0.0,0.9,0.45,107.96718063543352,0.25516339869281046,0.9640097172429557,False,profitmax,0.0,False
2.0,0.1,0.0,0.9,0.5,108.71897120070993,0.3895424836601307,0.9003854093511587,False,demand,0.0,False
2.0,0.1,0.0,0.9,0.55,95.43795309838568,0.39673202614379083,0.9527465054708314,False,profitmax,0.0,False
2.0,0.1,0.0,0.9,0.6,124.33542003708185,0.44169934640522873,0.8537843559738575,False,demand,0.0,False
2.0,0.1,0.0,0.9,0.65,126.46666327836967,0.4537254901960785,0.8514352898914055,False,demand,0.0,False
2.0,0.1,0.0,1.0,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.0,1.0,0.4,105.36430782771511,0.2441830065359477,0.9232565378927248,False,profitmax,0.0,False
2.0,0.1,0.0,1.0,0.45,97.22979199899756,0.4050326797385621,0.8914312662627976,False,demand,0.0,False
2.0,0.1,0.0,1.0,0.5,104.15946447849278,0.3370588235294118,0.9229639975453482,False,demand,0.0,False
2.0,0.1,0.0,1.0,0.55,92.57660749269586,0.39320261437908494,0.9384491596244565,False,profitmax,0.0,False
2.0,0.1,0.0,1.0,0.6,123.69306694075117,0.44810457516339874,0.8525435639443576,False,demand,0.0,False
2.0,0.1,0.0,1.0,0.65,126.21041730764381,0.46098039215686276,0.8500788907645348,False,demand,0.0,False
2.0,0.1,0.0,1.25,0.35,1.627415881557852e-41,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.0,1.25,0.4,1.5336065938737515e-09,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.0,1.25,0.45,78.86730308176912,0.35751633986928105,0.9134350501049809,False,profitmax,0.0,False
2.0,0.1,0.0,1.25,0.5,78.73187077872709,0.3560784313725491,0.9314941232073131,False,profitmax,0.0,False
2.0,0.1,0.0,1.25,0.55,78.47675746315916,0.4275816993464052,0.9023887562687278,False,profitmax,0.0,False
2.0,0.1,0.0,1.25,0.6,121.0637936158257,0.44816993464052285,0.8525483521314632,False,demand,0.0,False
2.0,0.1,0.0,1.25,0.65,122.3908918969155,0.4738562091503267,0.8477172808413967,False,demand,0.0,False
2.0,0.1,0.0,1.5,0.35,4.468057149058552e-42,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.0,1.5,0.4,2.0473104032109413e-41,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.0,1.5,0.45,2.667965123686335e-40,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.0,1.5,0.5,7.241155733214252e-37,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.0,1.5,0.55,124.62870436371846,0.3715032679738563,0.8687159047854637,False,demand,0.0,False
2.0,0.1,0.0,1.5,0.6,120.14920472068427,0.4351633986928105,0.855086281381029,False,demand,0.0,False
2.0,0.1,0.0,1.5,0.65,119.4802860940996,0.4666666666666666,0.8492588523089012,False,demand,0.0,False
2.0,0.1,0.5,0.05,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,0.05,0.4,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,0.05,0.45,90.04713512096968,0.5,0.8431808301420373,False,capital,0.0,False
2.0,0.1,0.5,0.05,0.5,176.42585316245652,0.020000000000000018,1.1633616013224588,False,capital,0.0,False
2.0,0.1,0.5,0.05,0.55,177.5185753490231,0.014183006535947723,1.2051469820381884,False,capital,0.0,False
2.0,0.1,0.5,0.05,0.6,179.0773158176687,0.0014379084967320276,1.2413587082964594,False,capital,0.0,False
2.0,0.1,0.5,0.05,0.65,181.2460324728564,0.0,1.246860091631139,False,capital,0.0,False
2.0,0.1,0.5,0.3,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,0.3,0.4,145.58451093986253,0.22790849673202615,0.9123089085450405,False,demand,0.0,False
