beta,lambda_u,point,rho_star,rho_star_in_support,resolved,quad_coef,quad_coef_se,ci_lo,ci_hi,ci_halfwidth,anchored_side,viable
0.05,0.0,4,0.35772138830328354,1.0,True,457.17247062922394,38.75122349454935,0.35110659027132307,0.36637744371424213,0.007635426721459532,left,1.0
0.05,0.25,3,0.36706402596829085,1.0,True,434.0640133001255,41.56263569557391,0.3522870496126849,0.38145541810427824,0.01458418424579666,right,1.0
0.05,0.5,2,0.3598848650213482,1.0,True,418.9135370639946,43.738430469976464,0.35107306098700003,0.37490901360144363,0.0119179763072218,left,1.0
0.05,0.75,1,0.374704150719493,1.0,True,465.8538718585407,14.458595126219628,0.35766322865451844,0.3890694360126215,0.015703103679051533,right,1.0
0.05,1.0,0,0.3583892645617245,1.0,True,405.44207097984474,59.467611816980124,0.35089302824039054,0.37509359687065735,0.012100284315133408,left,1.0
0.15,0.0,9,0.35772138830328354,1.0,True,457.17247062922394,38.75122349454935,0.3508852858495985,0.3668122711694959,0.007963492659948695,left,1.0
0.15,0.25,8,0.34117312571639424,0.0,False,256.5453456305367,70.61751744238819,,,,undefined,1.0
0.15,0.5,7,0.3502702117572416,1.0,True,255.59925741415364,72.46411757801488,,,,left,1.0
0.15,0.75,6,0.35822455057322444,1.0,True,271.9465085623744,41.82547488565208,0.35087230730579244,0.3904698222255691,0.019798757459888322,left,1.0
0.15,1.0,5,0.36069670663201775,1.0,True,282.78290208208125,54.79906434034067,0.3506793498725969,0.38596472588300207,0.017642688005202578,left,1.0
0.3,0.0,14,0.35772138830328354,1.0,True,457.17247062922394,38.75122349454935,0.3508118606078307,0.3666324390284712,0.007910289210320248,left,1.0
0.3,0.25,13,0.4077076505963442,1.0,True,275.5631524254332,47.726291542398044,0.3839290866806786,0.42628353025128995,0.021177221785305678,right,1.0
0.3,0.5,12,0.40210981421599473,1.0,True,266.35094053002075,22.417510852895127,0.36125164064347326,0.42497180280712366,0.0318600810818252,right,1.0
0.3,0.75,11,0.39639091712461266,1.0,True,256.7515017946318,62.14208421958176,0.36104117494063287,0.41992589912247774,0.029442362090922436,right,1.0
0.3,1.0,10,0.38913795645405547,1.0,True,243.81791590631255,83.77965195479729,0.35525897097078574,0.4155162050399891,0.03012861703460168,right,1.0
0.5,0.0,19,0.35772138830328354,1.0,True,457.17247062922394,38.75122349454935,0.350877122213604,0.3673638894856993,0.008243383636047652,left,1.0
0.5,0.25,18,0.4435562711632787,1.0,True,193.897476500968,6.752180519177553,0.41896076625355255,0.4595828577933705,0.02031104576990897,right,1.0
0.5,0.5,17,0.45352375787606536,1.0,True,250.8678527541094,15.24196400258903,0.43828347300021997,0.4649655703256396,0.013341048662709826,right,1.0
0.5,0.75,16,0.45086896060672627,1.0,True,217.39305251114664,11.390268074694976,0.4355907953383686,0.46330611982984465,0.013857662245738034,right,1.0
0.5,1.0,15,0.45196721505226095,1.0,True,235.22779779162906,21.82958223221733,0.437459877612228,0.4630592120188563,0.012799667203314158,right,1.0
0.75,0.0,24,0.35772138830328354,1.0,True,457.17247062922394,38.75122349454935,0.35097816274284116,0.3662868670711484,0.0076543521641536105,left,1.0
0.75,0.25,23,0.4850913772092773,1.0,True,175.82581491000522,9.248499172150934,0.4707870437164354,0.4986175492974199,0.013915252790492244,right,1.0
0.75,0.5,22,0.49513281370474926,1.0,True,152.31530565697992,40.659398285004016,0.4800029206998912,0.509344453954252,0.014670766627180393,right,1.0
0.75,0.75,21,0.49480230955594584,1.0,True,130.23546491345456,5.492717733400287,0.479095102166201,0.5172504618274296,0.019077679830614314,right,1.0
0.75,1.0,20,0.4966287113711322,1.0,True,147.25030687455205,10.476416142652903,0.48046253293734875,0.5123656422604388,0.01595155466154502,right,1.0
1.0,0.0,29,0.35772138830328354,1.0,True,457.17247062922394,38.75122349454935,0.3507794188537561,0.36673040997031303,0.007975495558278478,left,1.0
1.0,0.25,28,0.5341371059573925,1.0,True,122.12920578138747,12.327216921697394,0.51994969091444,0.5525459715464779,0.01629814031601895,right,1.0
1.0,0.5,27,0.5474308775230099,1.0,True,104.89525050744999,15.764403522995496,0.5206115945079474,0.5925913510387895,0.03598987826542105,right,1.0
1.0,0.75,26,0.5457955245622316,1.0,True,120.06189498905404,32.001352676396095,0.528958109610543,0.5740352176726119,0.02253855403103444,right,1.0
1.0,1.0,25,0.5337914408412927,1.0,True,126.35238567147519,53.91649609390451,0.519266086918679,0.5573196991955874,0.0190268061384542,right,1.0
