qoi,parameter,mu_star,mu,sigma,mu_star_conf,n_points_used
slope_raw,sigma,18.14857925605978,-13.670666278277753,47.76010520798202,18.353728537789227,360
slope_raw,eta,39.33493966866618,24.388823787103647,136.6611889155259,57.68088251599944,360
slope_raw,benefit_replacement_rate,66.13173071101352,15.870761911505747,131.18581453892017,53.38171286701232,360
slope_raw,pi0,530.6680049407043,-208.71629058663075,712.6489843296878,196.73428232358887,360
slope_raw,pct_capitalists,14.79130188143851,13.216131579645454,29.134334193367017,11.820945510637467,360
slope_raw,delta,725.2700005905008,20.59782072350375,856.4024427543852,181.9913052441232,360
slope_raw,c1,2.065078605611199,-0.20200135055639565,3.8015354743954974,1.3105467569589688,360
slope_raw,wealth_effect,340.42638780530353,60.49985030431511,535.2171560310904,153.41159984743675,360
slope_raw,capitalist_mpc,125.19776255738563,100.27357432338192,177.1322185498577,75.67369518529289,360
slope_raw,beta,71.26101720264039,-69.40816440664494,87.5374595912717,34.54414024698316,360
slope_raw,target_utilization,19.510837266902307,-14.841664759756233,34.356297927456,13.8937400677353,360
slope_raw,investment_floor,0.22640543570103228,-0.22640543570103228,1.012515889405932,0.43921870069965063,360
slope_raw,u_min,3.3957114376367743,1.3117572350530942,5.602776606237931,2.146986790908233,360
slope_raw,wage_floor,0.0,0.0,0.0,0.0,360
slope_raw,expectation_gain,7.853230414975746,-4.649240406723299,25.932226071899688,10.68126389605833,360
slope_raw,c0,294.0122036621618,146.0024516237464,526.5872735174302,189.99349678320982,360
slope_raw,max_tax,1.9588099804182106,-1.5636647520985334,5.609152543038828,2.0436506658726126,360
viable,sigma,0.075,0.075,0.3354101966249687,0.13842492013820767,360
viable,eta,0.0,0.0,0.0,0.0,360
viable,benefit_replacement_rate,0.075,-0.075,0.3354101966249687,0.15565147713741598,360
viable,pi0,0.525,0.525,0.7340407273943892,0.2849464344895505,360
viable,pct_capitalists,0.0,0.0,0.0,0.0,360
viable,delta,0.975,-0.975,0.7340407273943893,0.31089603130564647,360
viable,c1,0.0,0.0,0.0,0.0,360
viable,wealth_effect,0.225,-0.075,0.5910516942393094,0.23069821378387684,360
viable,capitalist_mpc,0.0,0.0,0.0,0.0,360
viable,beta,0.0,0.0,0.0,0.0,360
viable,target_utilization,0.0,0.0,0.0,0.0,360
viable,investment_floor,0.0,0.0,0.0,0.0,360
viable,u_min,0.0,0.0,0.0,0.0,360
viable,wage_floor,0.0,0.0,0.0,0.0,360
viable,expectation_gain,0.0,0.0,0.0,0.0,360
viable,c0,0.225,-0.075,0.5910516942393094,0.22527478049539745,360
viable,max_tax,0.0,0.0,0.0,0.0,360
