sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,c0,anchor
0.05,0.35,19,0.0,2.861292379258253e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9094373325263598,1.0,1.0,7.385138531785532e-42,7.280074632347917e-42,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,0,0.0,7.248002349547193e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9196284981913443,1.0,1.0,1.8707456049629314e-41,1.8441316386483878e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,1,0.0,1.1275485300935522e-40,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9114186648987829,1.0,1.0,2.910259069089163e-41,2.8688565734073044e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,2,0.0,8.077953563831e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.915135573249022,1.0,1.0,2.0849601583773754e-41,2.0552986911661131e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,3,0.0,8.099916147935102e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9068771991374538,1.0,1.0,2.0906288110219125e-41,2.0608866993178158e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,4,0.0,1.8600341116751678e-40,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9092653655359372,1.0,1.0,4.800840937523749e-41,4.732542277003697e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,5,0.0,1.2529893546736567e-40,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.908911440616618,1.0,1.0,3.2340281021949783e-41,3.1880195402912297e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,6,0.0,7.032037501682821e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9137595847218039,1.0,1.0,1.8150039991404666e-41,1.7891830349400213e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,7,0.0,5.435116856738657e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9182207023320565,1.0,1.0,1.4028308052133827e-41,1.3828735797649264e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,8,0.0,8.044525129004259e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9130602524523495,1.0,1.0,2.0763321123976677e-41,2.0467933911784073e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,9,0.0,6.273421571356239e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9124019999166482,1.0,1.0,1.6192014387836825e-41,1.5961660391901047e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,10,0.0,9.460196486021229e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9108863902583039,1.0,1.0,2.441723959901255e-41,2.4069870298527067e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,11,0.0,8.675469204235806e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9093915441815836,1.0,1.0,2.2391819293255785e-41,2.2073264422507406e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,12,0.0,1.1086017189798765e-40,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9038943623256153,1.0,1.0,2.861356403348186e-41,2.8206496163160044e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,13,0.0,6.540644581074066e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9147581690737654,1.0,1.0,1.6881730321780782e-41,1.6641564154385709e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,14,0.0,5.960999949313495e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9135401614751615,1.0,1.0,1.5385638578137529e-41,1.5166756403158723e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,15,0.0,9.181555015743794e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.909956896529832,1.0,1.0,2.369805204809447e-41,2.3360914193938845e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
