c0,eta,n_viable_cells,wage_mean,wage_min,wage_max,U_mean,U_min,U_max
1.0,0.0,77,0.9000000000000005,0.9,0.9,0.5276555895085308,0.3012156862745098,0.672
1.0,0.05,77,0.8679718961659041,0.8609163958808109,0.8941439485689738,0.5432867328749681,0.2989705882352941,0.633156862745098
1.0,0.1,77,0.8337150683175206,0.8191324132704534,0.8695047562992245,0.5654977081741788,0.3685,0.7661176470588236
1.0,0.15,77,0.7993193338387006,0.7833162531511939,0.8519210716922612,0.578809905780494,0.37649999999999995,0.657813725490196
2.0,0.0,76,0.9000000000000005,0.9,0.9,0.31563028895768835,0.0031176470588235323,0.5805
2.0,0.05,74,0.9021833143815299,0.8456007061669087,1.0593271838615417,0.3365594859565448,0.0,0.9579509803921569
2.0,0.1,71,1.0052137423158607,0.7894553938722558,1.246860091631139,0.2607372272852803,0.0,0.9755
2.0,0.15,73,0.9712911893165387,0.7372958960050202,1.2442353970419702,0.3508673113080849,0.03454901960784316,0.985
