point,rho,seed,Output,Total_Capital,Investment,Unemployment_Rate,Wage_Share,Profit_Share,Average_Utilization,Capitalist_Consumption,Tax_Rate,Consumption,Employment,Wage_Rate,Money_Buffer
0,0.35,0,121.76833439937454,329.6525910480644,22.46032719998546,0.3700000000000001,0.44820444840504353,0.5517955515949565,0.8700421610186765,49.40922700680674,0.11735051905785107,99.30800719938908,63.0,0.8664922235078748,0.0
0,0.35,1,121.96798478811478,327.67290478182014,22.46150270969533,0.36509803921568623,0.4515655961599364,0.5484344038400636,0.8776894068982674,49.25318712170825,0.11582310733218913,99.50648207841947,63.490196078431374,0.8677929821678941,0.0
0,0.35,2,121.12186902005817,328.8263118436245,22.358364401364362,0.37529411764705883,0.4460903596658268,0.5539096403341733,0.8664583361793174,49.29234163668839,0.11937071071794142,98.76350461869382,62.470588235294116,0.8649734540140978,0.0
0,0.55,0,125.37665404211167,481.49543614102197,32.75506599339408,0.46294117647058813,0.3621459578730189,0.6378540421269812,0.6060789855893267,49.27116291610837,0.15342027517648685,92.62158804871757,53.705882352941174,0.8454427065356718,0.0
0,0.55,1,124.97289440406773,480.58462776892054,32.66343430692757,0.46470588235294114,0.36194900371623445,0.6380509962837655,0.6051602749040015,49.09699137659851,0.1544850734856904,92.30946009714015,53.529411764705884,0.8450702195075183,0.0
0,0.55,2,123.34166147386394,469.8194679168317,31.937421188061297,0.4698039215686274,0.36283286571363577,0.6371671342863643,0.6105336980564635,48.54598073257208,0.1575262400310586,91.40424028580269,53.01960784313726,0.8440946084017193,0.0
1,0.35,0,120.47161519809924,332.1187958373278,22.3743236478852,0.3847058823529412,0.4404423916248794,0.5595576083751205,0.8652139687650048,49.34650729775256,0.12305608693234693,98.09729155021407,61.529411764705884,0.8626739088217765,0.0
1,0.35,1,120.75739227078138,328.9261394061032,22.41588202947061,0.3776470588235295,0.44528132131980636,0.5547186786801936,0.8773818836847902,49.11080624384273,0.12072787504167842,98.34151024131077,62.23529411764706,0.8643156288352593,0.0
1,0.35,2,121.10620662974328,331.92975658599585,22.57140951464684,0.3792156862745098,0.44289270019305516,0.5571072998069448,0.8716593001026399,49.31581360973537,0.12082732346760867,98.53479711509645,62.07843137254902,0.8641485408625919,0.0
1,0.55,0,124.40173960219265,476.9954327346405,32.437766783203074,0.46392156862745093,0.36425043384618916,0.6357495661538108,0.6172407504133568,48.71608734934163,0.15481699815209463,91.96397281898957,53.6078431372549,0.8452877088471533,0.0
1,0.55,1,125.01514733311693,481.1991833911167,32.74594326233199,0.461764705882353,0.36408373859163656,0.6359162614083633,0.6150731079682134,48.85747833347946,0.1536897953051379,92.26920407078494,53.8235294117647,0.8456930826581167,0.0
1,0.55,2,123.65499455614416,473.049816479611,32.15467653618248,0.4664705882352941,0.36448643070731196,0.6355135692926881,0.6185098036120292,48.427400890815534,0.15637809211179854,91.5003180199617,53.35294117647059,0.8447894713111768,0.0
2,0.35,0,122.65787718258794,333.00221475462496,22.625681345421295,0.3670588235294117,0.45057817128227196,0.549421828717728,0.8703703212967246,49.50963069004679,0.11656532524966426,100.03219583716664,63.294117647058826,0.8734520193879858,0.0
2,0.35,1,123.02001599396212,329.76869640498035,22.613819046194465,0.3588235294117647,0.4559347430443857,0.5440652569556143,0.8827364992340725,49.325045335100434,0.11370963499571482,100.40619694776764,64.11764705882354,0.8750207572704766,0.0
2,0.35,2,121.61069495742687,328.3958729773196,22.342523413931705,0.3703921568627451,0.45160591154850227,0.5483940884514977,0.8746371616059987,49.10370309660762,0.11822612363391836,99.26817154349519,62.96078431372549,0.8723725607749195,0.0
2,0.55,0,125.8388876309917,480.75894495616694,32.69555106469025,0.46,0.3671960457179545,0.6328039542820454,0.6125816481153505,49.15235490381789,0.15341893381473518,93.14333656630146,54.0,0.8556952210304846,0.0
2,0.55,1,125.01387898202903,478.76215637014514,32.486783983462736,0.4637254901960783,0.3667980347203582,0.6332019652796418,0.6109868964208961,48.7866419272286,0.15561112708053565,92.52709499856631,53.627450980392155,0.8550934234375765,0.0
2,0.55,2,123.20849250209349,466.6131871685809,31.682624371208142,0.46901960784313723,0.3681262855852189,0.631873714414781,0.6174654749424265,48.17488331939102,0.15894909061205797,91.52586813088533,53.09803921568628,0.8542321858640985,0.0
3,0.35,0,110.05189493907439,297.0117766259635,20.162423994040935,0.43019607843137264,0.4412112933675423,0.5587887066324577,0.8653577560751734,49.470861875721674,0.056611080018911165,89.88947094503348,56.98039215686274,0.8521786837548695,0.0
3,0.35,1,110.8915420221814,299.4184982004338,20.412745068111196,0.42588235294117655,0.44164123197304744,0.5583587680269525,0.8658827868369409,49.69903479904949,0.05574463253127407,90.4787969540702,57.411764705882355,0.8530860717377328,0.0
3,0.35,2,111.40913051497544,302.0406176929491,20.53760089573295,0.42490196078431375,0.44045042862722966,0.5595495713727703,0.8621591846676538,49.97404885186006,0.055386528392555444,90.8715296192425,57.509803921568626,0.8532921127737595,0.0
3,0.55,0,110.21671851096107,413.0550851757193,28.436076599572058,0.5221568627450981,0.36172070249572624,0.6382792975042738,0.6187262385721372,48.82218137463697,0.07405920222407357,81.780641911389,47.78431372549019,0.8345561149539004,0.0
3,0.55,1,111.03676697702171,415.73651595411866,28.790329729304844,0.5180392156862744,0.36236398744483284,0.6376360125551672,0.6195140361682877,48.99507990520658,0.07319445036555486,82.2464372477169,48.19607843137255,0.8352675355640221,0.0
