point,rho,seed,Output,Total_Capital,Investment,Unemployment_Rate,Wage_Share,Profit_Share,Average_Utilization,Capitalist_Consumption,Tax_Rate,Consumption,Employment,Wage_Rate,Money_Buffer
0,0.35,0,122.857920015019,325.0234736037712,22.365245036203238,0.3545098039215686,0.45728165068564375,0.5427183493143563,0.872602710648445,49.41901110208023,0.11146833189470183,100.49267497881577,64.54901960784314,0.8703431495723342,0.0
0,0.35,1,121.55212014460422,323.7233629934849,22.068193817036814,0.3641176470588236,0.4538621908691228,0.5461378091308772,0.8646045495807584,49.22011636203465,0.11543214538885099,99.48392632756736,63.588235294117645,0.8677595689853352,0.0
0,0.35,2,121.0758774168357,322.4716968582252,21.942518645769606,0.3670588235294117,0.453234501010981,0.546765498989019,0.8638588053350047,49.0530056131464,0.11661246821406095,99.1333587710661,63.294117647058826,0.8670756835822819,0.0
0,0.55,0,125.50002702562062,479.76679022010575,32.636069514504165,0.46509803921568627,0.3601538077894553,0.6398461922105446,0.5936138346537018,49.64469719863687,0.1536572823443851,92.86395751111644,53.490196078431374,0.845016462892246,0.0
0,0.55,1,123.89368754551029,472.00068964930404,32.0784294475485,0.4709803921568627,0.3603332962546113,0.6396667037453888,0.5952035764106213,48.99715250479194,0.15717495375350599,91.81525809796179,52.90196078431372,0.8439017648066917,0.0
0,0.55,2,122.71090545085755,464.1803520165086,31.538972871354314,0.4745098039215686,0.3610536191534363,0.6389463808465637,0.5991229212378354,48.61590797053328,0.1593256548604815,91.17193257950323,52.549019607843135,0.8431403290984065,0.0
1,0.35,0,120.1342166369909,333.6325658418309,22.477862659778545,0.3892156862745098,0.4381411338245581,0.5618588661754419,0.8725889018008272,49.09741598667029,0.12502921940342412,97.65635397721236,61.07843137254902,0.8621623565929217,0.0
1,0.35,1,121.07284074555062,332.6160271407692,22.749235434499234,0.3796078431372548,0.44270310107612665,0.5572968989238734,0.8841813136490626,49.13355490720903,0.12129609426122996,98.3236053110514,62.03921568627451,0.8642025710992721,0.0
1,0.35,2,120.9780463217157,334.56378848101116,22.785868002459928,0.38352941176470584,0.43971010649339193,0.5602898935066081,0.877629859629663,49.30682106600147,0.12249349494440845,98.19217831925576,61.64705882352941,0.8630619443732482,0.0
1,0.55,0,124.66400480686892,478.95390681875585,32.57279366783958,0.46,0.36646739574608983,0.63353260425391,0.6268001622940355,48.597391287000946,0.15341792931392936,92.09121113902927,54.0,0.8460239478676161,0.0
1,0.55,1,124.21795393239147,479.11706533829084,32.49120909380536,0.462156862745098,0.366099895849032,0.633900104150968,0.6241572472138156,48.39195858660059,0.15472334517843728,91.7267448385861,53.78431372549019,0.8455835032324763,0.0
1,0.55,2,123.24402696474738,472.9686930919223,32.05664467094034,0.46549019607843134,0.3664200805833918,0.6335799194166082,0.6270552947934539,48.080410598674995,0.15662655733447242,91.18738229380702,53.450980392156865,0.8449177587835817,0.0
2,0.35,0,123.31352145745103,331.356716431799,22.49317373215904,0.35960784313725497,0.45419275196412945,0.5458072480358706,0.8599915937205979,49.801817824566854,0.11331473372618525,100.820347725292,64.03921568627452,0.8746618359354759,0.0
2,0.35,1,122.00074849480558,326.1335244577381,22.055043149324984,0.3635294117647059,0.4558416735121844,0.5441583264878155,0.8639846073040399,49.19847734173624,0.11559598893104568,99.94570534548056,63.64705882352941,0.8740184208329735,0.0
2,0.35,2,122.24625738743872,324.68758736952606,22.101707678300446,0.3594117647058825,0.4583188602421687,0.5416811397578313,0.8700995520261363,49.15055731045596,0.1140518948203158,100.14454970913826,64.05882352941177,0.874740962021028,0.0
2,0.55,0,125.04948166199819,475.0571077180885,32.27638412078368,0.46549019607843134,0.3653670683852947,0.6346329316147051,0.6010349677347699,49.12912679425283,0.15572491242456657,92.7730975412145,53.450980392156865,0.8548007910713715,0.0
2,0.55,1,124.98721558443377,475.44971055425924,32.356964035200214,0.46607843137254895,0.36510627512523924,0.6348937248747608,0.6001856830896105,49.04000226726038,0.15614157102684673,92.63025154923356,53.3921568627451,0.8547033367498529,0.0
2,0.55,2,123.86110935678118,466.6202194668006,31.81335683908439,0.46843137254901956,0.3666601583759009,0.6333398416240992,0.6060826941867172,48.615607140269056,0.15787577654184873,92.04775251769676,53.15686274509804,0.8543915017900131,0.0
3,0.35,0,112.0077010908614,299.6206196723552,20.354308760817013,0.41549019607843146,0.44635347464925956,0.5536465253507403,0.8544354291770812,49.87741288755449,0.05398006737763865,91.65339233004438,58.450980392156865,0.8557624829913555,0.0
3,0.35,1,112.72503125991068,297.39217525941666,20.42458581555141,0.4050980392156863,0.45270914007520835,0.5472908599247917,0.8684140054463599,49.604362988617915,0.05237381075740564,92.3004454443593,59.490196078431374,0.858091070186072,0.0
3,0.35,2,111.63715486271417,297.3981585761814,20.229738225523686,0.4158823529411765,0.4473464305191827,0.5526535694808173,0.8580450388535059,49.82887492623702,0.054049947845759734,91.40741663719051,58.411764705882355,0.8551559596722385,0.0
