point,beta,lambda_u,rho,seed,Output,Unemployment_Rate,Total_Capital,Investment,Average_Utilization,Util_Effect_mean,Util_Effect_sd,Util_Effect_min,Util_Effect_max,Expected_Utilization_mean
0,0.05,1.0,0.35,0,81.95806939988631,0.5637254901960785,292.84649911277114,14.662882957260136,0.6704257688750996,0.9885219214136972,0.000838464104227616,0.9875931956079507,0.9898206693227569,0.6704257688750996
0,0.05,1.0,0.35,1,80.18440972292177,0.5715686274509805,283.322524564568,14.210975403733867,0.678244463212292,0.9889166664827944,0.0002632897684368695,0.9882748547862128,0.9891519186297506,0.678244463212292
0,0.05,1.0,0.35,2,80.22869864304253,0.5762745098039216,291.55301929797156,14.287691247973374,0.6573229498771304,0.9878882350819848,0.0005905425050885758,0.9870356551273505,0.9894401629391977,0.6573229498771304
0,0.05,1.0,0.35,3,81.49876250893267,0.5672549019607844,292.86574872630564,14.612886654190895,0.666824786054544,0.9883241087762988,0.0006626984890893341,0.9873788237591352,0.9894104805304333,0.666824786054544
0,0.05,1.0,0.35,4,82.67400477626416,0.5592156862745099,295.0651410307884,14.790906776264423,0.6722937097547179,0.9886312008160374,0.0012638848103997107,0.9863820346778194,0.9905375346514695,0.6722937097547179
0,0.05,1.0,0.35,5,81.64883672672303,0.5662745098039216,293.5954774084122,14.622440789405003,0.6663998833623933,0.9883150198644689,0.0011317180755751322,0.9866274538112136,0.9900304714372645,0.6663998833623933
0,0.05,1.0,0.35,6,81.7877527387956,0.5668627450980391,295.8499887970693,14.750264021001314,0.6628309629119921,0.9880919865657762,0.0008570441861348976,0.9869708920502307,0.9897697868839594,0.6628309629119921
0,0.05,1.0,0.35,7,82.90871402089367,0.5586274509803921,295.4255390747419,14.756065291672797,0.6730988101109352,0.9886664805153259,0.0002455319636628407,0.9884926398888224,0.9896652646836438,0.6730988101109352
0,0.05,1.0,0.35,8,82.05563369183521,0.5609803921568629,289.71217123595017,14.516802784873171,0.6799594055854942,0.9890160297042129,0.000842988978320833,0.9880629155537181,0.9910803533075008,0.6799594055854942
0,0.05,1.0,0.35,9,81.57189740408704,0.565294117647059,291.44526580360997,14.474471428416214,0.6710232050543512,0.9885986968588409,0.001780140356303,0.9863555139436926,0.9916154181404968,0.6710232050543512
0,0.05,1.0,0.35,10,83.28260564980566,0.5601960784313725,303.15381012679876,15.10555214659734,0.6580163768862264,0.9879267309760986,0.0006526539167864215,0.9869715337661121,0.9887132228139442,0.6580163768862264
0,0.05,1.0,0.35,11,83.5420045108998,0.556078431372549,300.97288975762257,15.025105804335595,0.6662543863731872,0.9883928000814701,0.002007550362260794,0.9861885804356387,0.9917273122756296,0.6662543863731872
0,0.05,1.0,0.35,12,80.30110496226789,0.573921568627451,289.21232842913383,14.313413261041719,0.6645907579417442,0.9882511883738877,0.0010184059797168782,0.9868161468565221,0.9898061603824699,0.6645907579417442
0,0.05,1.0,0.35,13,83.42655699200405,0.552156862745098,292.8318870715571,14.884120739212202,0.6858569959697063,0.9892670114833727,0.001054442554804063,0.9866263925634847,0.9907070984806661,0.6858569959697063
0,0.05,1.0,0.35,14,83.61930109798425,0.56,307.358892004622,15.29299221872382,0.6526533950225186,0.9876743696424025,0.0005654334159417128,0.9864512674753281,0.988783296086767,0.6526533950225186
0,0.05,1.0,0.35,15,80.49533274997569,0.5700000000000002,284.3111096434646,14.215555482159067,0.6781777866080295,0.9889088893304001,1.882830235581812e-14,0.9889088893303652,0.9889088893304286,0.6781777866080295
0,0.05,1.0,0.35,16,82.1728000604708,0.5599999999999999,288.6950823430387,14.4506761792311,0.6820513975302464,0.9891033659193306,1.183140048025331e-05,0.9890865653613595,0.9891267003714617,0.6820513975302464
0,0.05,1.0,0.35,17,84.18890434311133,0.5409803921568628,286.18992819779953,14.664685754220432,0.7113861953892912,0.9905646837069422,0.0015655953537822003,0.9884478934707392,0.9935578564818813,0.7113861953892912
0,0.05,1.0,0.35,18,79.92195208027043,0.5778431372549019,290.7679661214845,14.156916617919322,0.6559677103637234,0.9878259313421635,0.0012177120728822364,0.98625865244186,0.9912931830725595,0.6559677103637234
0,0.05,1.0,0.35,19,83.35188819233097,0.5541176470588235,295.2702566672786,14.908176708375791,0.6781286304851551,0.9889549652170654,0.0009271489771287444,0.9871958207850783,0.9903115547953544,0.6781286304851551
0,0.05,1.0,0.45,0,88.03433858567169,0.582156862745098,440.2392226962082,22.02795238992324,0.47842865093137604,0.9789112429652993,0.0002326757891411685,0.9784180843425807,0.9791643282105987,0.47842865093137604
0,0.05,1.0,0.45,1,91.62096785085936,0.5668627450980392,465.3002361975909,23.241224905495212,0.47177057637556913,0.9785992388409698,0.00027585656259073685,0.9783329314929039,0.9790494261230716,0.47177057637556913
0,0.05,1.0,0.45,2,83.75276353565528,0.5996078431372549,409.4503702015662,20.222633509784195,0.4877636730825404,0.9793570623040992,0.0008204561221479165,0.978220750137105,0.9810683212128419,0.4877636730825404
0,0.05,1.0,0.45,3,84.39558694893401,0.5937254901960786,402.9894758296921,20.42631992435105,0.5002209914152278,0.9799825809995546,0.0007201887959920948,0.9784528268159358,0.9811528088164794,0.5002209914152278
0,0.05,1.0,0.45,4,83.78955031640524,0.5990196078431372,407.6201839411848,20.307922914121058,0.4910965784065925,0.979563995891302,0.0005373484293507449,0.9788110946170676,0.9805466370071686,0.4910965784065925
0,0.05,1.0,0.45,5,84.64732765690965,0.5960784313725491,416.5415014557264,20.574667659331592,0.48500544217470065,0.979238508466809,0.0005585721519308344,0.9784994397497402,0.9803590968792092,0.48500544217470065
0,0.05,1.0,0.45,6,83.30532040790266,0.6001960784313726,400.96065502383635,20.11009142185594,0.4963092093458831,0.979794117433739,0.0005038315829992841,0.979032454203298,0.9805484906239752,0.4963092093458831
0,0.05,1.0,0.45,7,87.01280616227535,0.5860784313725491,431.90160049116406,21.46813764143053,0.4815023855678991,0.9790899382168157,0.0003361130166836602,0.9786514567384659,0.9796942964797776,0.4815023855678991
0,0.05,1.0,0.45,8,89.91237611095178,0.5637254901960785,418.4738047473162,22.024792107677882,0.5170799228956453,0.9808663466842866,0.0008800708536013726,0.9794543256918413,0.9825470162670886,0.5170799228956453
0,0.05,1.0,0.45,9,86.63503691556369,0.5829411764705882,413.9413404927062,21.160714654799847,0.5035685133806436,0.9801986534060315,0.0006702536299443054,0.9789000476413798,0.9815274627938345,0.5035685133806436
0,0.05,1.0,0.45,10,93.30489182754894,0.5599999999999999,477.7033049748852,23.885165248744322,0.4683800601017023,0.9784190030050851,0.0,0.9784190030050851,0.9784190030050851,0.4683800601017023
0,0.05,1.0,0.45,11,84.72534334143342,0.5958823529411765,416.5106983139906,20.70974302292775,0.4859317013713803,0.9792911593792943,0.0003774773776588768,0.9785157264451169,0.9798130716793757,0.4859317013713803
