c0,eta,sigma,rho,Y,U,Wage_Rate,Wage_Floor_Binding,collapsed,floored,binding,frac_seeds_collapsed,mixed_basin
1.0,0.0,0.9,0.4,90.53560187473163,0.4902614379084967,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.9,0.45,88.08922053044506,0.5358823529411766,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.9,0.5,86.50661638121987,0.5690849673202615,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.9,0.55,87.41936128822853,0.5850326797385622,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.9,0.6,88.32083594097122,0.5976470588235294,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.9,0.65,89.05502743743172,0.605686274509804,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.35,95.27839643944351,0.41339869281045755,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.4,90.6229179690544,0.48496732026143796,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.45,88.65060147339209,0.5265359477124184,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.5,87.8471438038744,0.5605882352941177,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.55,86.92807969841209,0.5866666666666666,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.6,88.51941141614073,0.5932026143790851,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.0,0.65,84.91835949856143,0.6271241830065359,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.25,0.35,100.35499845559457,0.35274509803921567,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.25,0.4,95.46862304436458,0.4275163398692811,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.25,0.45,89.7102284269453,0.5045098039215686,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.25,0.5,86.75650572451882,0.5469934640522877,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.25,0.55,87.17939032513027,0.5751633986928105,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.25,0.6,88.00770603365642,0.5883660130718955,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.25,0.65,86.72339809232373,0.6189542483660131,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.5,0.35,104.26755527128687,0.2966666666666667,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.5,0.4,96.81587825663037,0.39686274509803915,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.5,0.45,90.65861821452899,0.47771241830065353,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.5,0.5,88.0939947239931,0.5224836601307189,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.5,0.55,86.552467017697,0.5584313725490196,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.5,0.6,84.11072737779386,0.6013725490196078,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,1.5,0.65,82.04333545338785,0.6377124183006535,0.9,0.0,False,False,demand,0.0,False
1.0,0.05,0.05,0.35,81.31563463280607,0.5499999999999999,0.8669908128259524,0.0,False,False,capital,0.0,False
1.0,0.05,0.05,0.4,85.08787449027324,0.5320261437908498,0.8684307154455505,0.0,False,False,demand,0.0,False
1.0,0.05,0.05,0.45,87.98160051251615,0.5166666666666667,0.8697605797483959,0.0,False,False,demand,0.0,False
1.0,0.05,0.05,0.5,99.53281656484172,0.45333333333333337,0.8754154689042263,0.0,False,False,demand,0.0,False
1.0,0.05,0.05,0.55,101.3563963925369,0.44333333333333336,0.8763848880372085,0.0,False,False,demand,0.0,False
1.0,0.05,0.05,0.6,115.92389130962918,0.3633333333333333,0.8851976806223582,0.0,False,False,demand,0.0,False
1.0,0.05,0.05,0.65,111.67551457279113,0.3866666666666667,0.8825389496140286,0.0,False,False,demand,0.0,False
1.0,0.05,0.3,0.35,85.8301327566325,0.523202614379085,0.8691783386214446,0.0,False,False,demand,0.0,False
1.0,0.05,0.3,0.4,85.88463939690986,0.5452287581699347,0.867370327603818,0.0,False,False,demand,0.0,False
1.0,0.05,0.3,0.45,89.14283566382169,0.5416339869281046,0.867659220761702,0.0,False,False,demand,0.0,False
1.0,0.05,0.3,0.5,89.3560476035379,0.5476470588235295,0.8671708883833974,0.0,False,False,demand,0.0,False
1.0,0.05,0.3,0.55,91.27661807936954,0.5433333333333333,0.867516321091138,0.0,False,False,demand,0.0,False
1.0,0.05,0.3,0.6,92.84794783130064,0.5394117647058825,0.8678336032839135,0.0,False,False,demand,0.0,False
1.0,0.05,0.3,0.65,101.01400552552239,0.5033333333333333,0.8709117982918714,0.0,False,False,demand,0.0,False
1.0,0.05,0.4,0.35,87.43323917412715,0.5099346405228758,0.8703525158574759,0.0,False,False,demand,0.0,False
1.0,0.05,0.4,0.4,86.05326181175563,0.5456209150326797,0.8673480265109136,0.0,False,False,demand,0.0,False
1.0,0.05,0.4,0.45,85.08922705503822,0.564575163398693,0.8658699604085301,0.0,False,False,demand,0.0,False
1.0,0.05,0.4,0.5,87.0278226769235,0.5658169934640523,0.8657591897185931,0.0,False,False,demand,0.0,False
1.0,0.05,0.4,0.55,90.27793511002739,0.559607843137255,0.8662684176300063,0.0,False,False,demand,0.0,False
1.0,0.05,0.4,0.6,91.31284342925169,0.56,0.8662098932072629,0.0,False,False,demand,0.0,False
1.0,0.05,0.4,0.65,96.82623807191031,0.5390849673202616,0.8678670897190363,0.0,False,False,demand,0.0,False
1.0,0.05,0.5,0.35,89.04861350215232,0.49614379084967314,0.8715460143380337,0.0,False,False,demand,0.0,False
1.0,0.05,0.5,0.4,84.27805973598971,0.5527450980392157,0.8668010559634061,0.0,False,False,demand,0.0,False
1.0,0.05,0.5,0.45,85.41296850871704,0.5640522875816995,0.8658863559257616,0.0,False,False,demand,0.0,False
1.0,0.05,0.5,0.5,86.68552039728347,0.5712418300653596,0.8653341114592553,0.0,False,False,demand,0.0,False
1.0,0.05,0.5,0.55,87.90647093495694,0.577450980392157,0.8648907752847754,0.0,False,False,demand,0.0,False
1.0,0.05,0.5,0.6,90.62459421489807,0.572091503267974,0.8652818908890785,0.0,False,False,demand,0.0,False
1.0,0.05,0.5,0.65,91.98756606040395,0.5739869281045752,0.86515034296159,0.0,False,False,demand,0.0,False
1.0,0.05,0.6,0.35,88.43322774864596,0.48986928104575167,0.8720674683663953,0.0,False,False,demand,0.0,False
1.0,0.05,0.6,0.4,86.05831345771385,0.5398039215686276,0.8678265669588764,0.0,False,False,demand,0.0,False
1.0,0.05,0.6,0.45,84.62363126159296,0.5684313725490197,0.865580297326359,0.0,False,False,demand,0.0,False
1.0,0.05,0.6,0.5,85.37341898250092,0.5815686274509805,0.8645781832411492,0.0,False,False,demand,0.0,False
1.0,0.05,0.6,0.55,87.99279588811343,0.581830065359477,0.8645485378409902,0.0,False,False,demand,0.0,False
1.0,0.05,0.6,0.6,88.3467557612692,0.5890849673202614,0.8640191104594633,0.0,False,False,demand,0.0,False
1.0,0.05,0.6,0.65,91.18344129077855,0.587124183006536,0.864185661584731,0.0,False,False,demand,0.0,False
1.0,0.05,0.7,0.35,91.12606467627268,0.4658169934640523,0.8742678462824944,0.0,False,False,demand,0.0,False
1.0,0.05,0.7,0.4,85.70603442822183,0.5331372549019607,0.8683584799524323,0.0,False,False,demand,0.0,False
1.0,0.05,0.7,0.45,86.01332365800613,0.558235294117647,0.8663943970172293,0.0,False,False,demand,0.0,False
1.0,0.05,0.7,0.5,84.4814252833629,0.583529411764706,0.8644561977104351,0.0,False,False,demand,0.0,False
1.0,0.05,0.7,0.55,85.92522954998742,0.5954248366013072,0.8635986938000032,0.0,False,False,demand,0.0,False
1.0,0.05,0.7,0.6,88.74462851754373,0.5948366013071896,0.863579567432675,0.0,False,False,demand,0.0,False
1.0,0.05,0.7,0.65,85.90611181111841,0.6154248366013072,0.8622043215069723,0.0,False,False,demand,0.0,False
1.0,0.05,0.8,0.35,90.96526623377326,0.46189542483660134,0.8746650454404264,0.0,False,False,demand,0.0,False
1.0,0.05,0.8,0.4,87.69809291604206,0.5166666666666667,0.8697030453429027,0.0,False,False,demand,0.0,False
1.0,0.05,0.8,0.45,84.28081618153453,0.5606535947712419,0.8661883501193591,0.0,False,False,demand,0.0,False
1.0,0.05,0.8,0.5,86.41992522967638,0.5751633986928105,0.8650644724244309,0.0,False,False,demand,0.0,False
1.0,0.05,0.8,0.55,85.55575251402865,0.6003921568627452,0.8632734541988379,0.0,False,False,demand,0.0,False
1.0,0.05,0.8,0.6,83.79002776266655,0.617450980392157,0.8619741443416841,0.0,False,False,demand,0.0,False
1.0,0.05,0.8,0.65,85.5419946856161,0.6266666666666666,0.8614719519574079,0.0,False,False,demand,0.0,False
1.0,0.05,0.9,0.35,91.79412762834268,0.45032679738562087,0.8757241757622017,0.0,False,False,demand,0.0,False
1.0,0.05,0.9,0.4,86.55825397361569,0.5181045751633987,0.8696088922206195,0.0,False,False,demand,0.0,False
1.0,0.05,0.9,0.45,85.46788242302917,0.5494117647058824,0.8670911183066853,0.0,False,False,demand,0.0,False
1.0,0.05,0.9,0.5,84.25504218565861,0.5834640522875818,0.8644340245029438,0.0,False,False,demand,0.0,False
1.0,0.05,0.9,0.55,83.24606376639649,0.6084967320261438,0.8626982098512919,0.0,False,False,demand,0.0,False
1.0,0.05,0.9,0.6,83.18153129603553,0.6234640522875817,0.8616769054690878,0.0,False,False,demand,0.0,False
1.0,0.05,0.9,0.65,84.55550319030043,0.6305882352941178,0.861163609965979,0.0,False,False,demand,0.0,False
1.0,0.05,1.0,0.35,92.70752827369927,0.4352287581699346,0.8772969825099861,0.0,False,False,demand,0.0,False
1.0,0.05,1.0,0.4,88.01758343222032,0.5022875816993464,0.871078425386819,0.0,False,False,demand,0.0,False
1.0,0.05,1.0,0.45,84.86381839441225,0.5498039215686275,0.8670583671682855,0.0,False,False,demand,0.0,False
1.0,0.05,1.0,0.5,84.98194927832338,0.5764705882352942,0.864971020407974,0.0,False,False,demand,0.0,False
1.0,0.05,1.0,0.55,86.03014596870912,0.5919607843137255,0.863852819489988,0.0,False,False,demand,0.0,False
1.0,0.05,1.0,0.6,81.45639675001051,0.6296078431372548,0.861170230961526,0.0,False,False,demand,0.0,False
1.0,0.05,1.0,0.65,84.65871359832653,0.6350980392156863,0.8608775857877341,0.0,False,False,demand,0.0,False
1.0,0.05,1.25,0.35,98.78612877621867,0.36477124183006526,0.8851091995675985,0.0,False,False,demand,0.0,False
1.0,0.05,1.25,0.4,90.51610104315377,0.46352941176470575,0.8744645615484883,0.0,False,False,demand,0.0,False
1.0,0.05,1.25,0.45,85.76052122499097,0.5265359477124183,0.8688902260089914,0.0,False,False,demand,0.0,False
1.0,0.05,1.25,0.5,85.1817106675252,0.5611111111111112,0.8661065337661505,0.0,False,False,demand,0.0,False
1.0,0.05,1.25,0.55,83.5974693951956,0.5909803921568627,0.8638922409694753,0.0,False,False,demand,0.0,False
1.0,0.05,1.25,0.6,82.07414931072815,0.6169281045751633,0.8620434713851896,0.0,False,False,demand,0.0,False
1.0,0.05,1.25,0.65,81.04666905890788,0.6416339869281046,0.8603680539852485,0.0,False,False,demand,0.0,False
1.0,0.05,1.5,0.35,102.33036014008569,0.30764705882352944,0.8926044052302666,0.0,False,False,demand,0.0,False
1.0,0.05,1.5,0.4,93.56211294141035,0.4138562091503268,0.8796691192900945,0.0,False,False,demand,0.0,False
1.0,0.05,1.5,0.45,90.76370003937022,0.47607843137254885,0.8733556910984209,0.0,False,False,demand,0.0,False
1.0,0.05,1.5,0.5,86.31496128940721,0.5252287581699346,0.8690469471421943,0.0,False,False,demand,0.0,False
1.0,0.05,1.5,0.55,84.54307506542142,0.5683660130718954,0.8655715939791596,0.0,False,False,demand,0.0,False
1.0,0.05,1.5,0.6,83.79460407744857,0.5981699346405228,0.8633847927721937,0.0,False,False,demand,0.0,False
1.0,0.05,1.5,0.65,81.81045185010113,0.6262745098039216,0.8613998309407299,0.0,False,False,demand,0.0,False
1.0,0.1,0.05,0.35,81.39964725957226,0.5511111111111111,0.8350355289716563,0.0,False,False,demand,0.0,False
1.0,0.1,0.05,0.4,84.9104304248506,0.5333333333333334,0.8377601724278009,0.0,False,False,demand,0.0,False
1.0,0.1,0.05,0.45,86.77711006428525,0.5233333333333334,0.8393931178543307,0.0,False,False,demand,0.0,False
1.0,0.1,0.05,0.5,98.32048587954291,0.45999999999999996,0.8502555372458472,0.0,False,False,demand,0.0,False
1.0,0.1,0.05,0.55,100.14301527701757,0.44999999999999996,0.8521571953460191,0.0,False,False,demand,0.0,False
1.0,0.1,0.05,0.6,107.42683958174395,0.4100000000000001,0.8603316987167134,0.0,False,False,demand,0.0,False
1.0,0.1,0.05,0.65,114.71022849979737,0.36999999999999994,0.8691228858296839,0.0,False,False,demand,0.0,False
1.0,0.1,0.3,0.35,83.76761517698024,0.5422875816993464,0.8365561225800082,0.0,False,False,demand,0.0,False
1.0,0.1,0.3,0.4,82.63006292155696,0.5645751633986928,0.8329761627446718,0.0,False,False,demand,0.0,False
1.0,0.1,0.3,0.45,84.76084285517182,0.5653594771241831,0.8329246391833358,0.0,False,False,demand,0.0,False
1.0,0.1,0.3,0.5,87.96503232662866,0.5566666666666668,0.8342001627447919,0.0,False,False,demand,0.0,False
1.0,0.1,0.3,0.55,91.62184254980544,0.5433333333333333,0.8362258795351939,0.0,False,False,demand,0.0,False
1.0,0.1,0.3,0.6,93.01698082296888,0.54,0.8367270526432665,0.0,False,False,demand,0.0,False
1.0,0.1,0.3,0.65,96.35867982028621,0.5264705882352941,0.8388721291339225,0.0,False,False,demand,0.0,False
1.0,0.1,0.4,0.35,84.28519225157136,0.5339215686274511,0.837683580355803,0.0,False,False,demand,0.0,False
1.0,0.1,0.4,0.4,82.84045548494719,0.5641830065359477,0.8331464612778108,0.0,False,False,demand,0.0,False
1.0,0.1,0.4,0.45,84.18526880838631,0.5731372549019609,0.8317517203176178,0.0,False,False,demand,0.0,False
1.0,0.1,0.4,0.5,85.70012709984877,0.5745098039215687,0.8315492096101043,0.0,False,False,demand,0.0,False
1.0,0.1,0.4,0.55,88.90602022230091,0.5676470588235295,0.8326425162659579,0.0,False,False,demand,0.0,False
1.0,0.1,0.4,0.6,90.78098440926412,0.563202614379085,0.8331910931086224,0.0,False,False,demand,0.0,False
1.0,0.1,0.4,0.65,93.13872492034079,0.558169934640523,0.8339747277964694,0.0,False,False,demand,0.0,False
1.0,0.1,0.5,0.35,84.97664234837153,0.524640522875817,0.8391922187227515,0.0,False,False,demand,0.0,False
1.0,0.1,0.5,0.4,82.50643909824991,0.5622222222222223,0.8334580027164525,0.0,False,False,demand,0.0,False
1.0,0.1,0.5,0.45,82.88932520904221,0.581764705882353,0.8305283269671935,0.0,False,False,demand,0.0,False
1.0,0.1,0.5,0.5,84.68415905177028,0.5854248366013073,0.8300247192570346,0.0,False,False,demand,0.0,False
1.0,0.1,0.5,0.55,84.07570905993481,0.5961437908496733,0.8285610544169512,0.0,False,False,demand,0.0,False
1.0,0.1,0.5,0.6,89.75220530095409,0.5776470588235295,0.8310867589596592,0.0,False,False,demand,0.0,False
