analysis,n_points,frac_viable_4rho,frac_viable_chord_pair,n_viable,P_wage_led_OLS_given_viable,P_wage_led_chord_given_viable,slope_mean_viable,slope_sd_viable,slope_seed_sd_mean,frac_rho_star_in_support,median_rho_star
primary (empirical sigma 0.40-0.60),3328,0.4795673076923077,0.4795673076923077,1596,0.0263157894736842,0.093984962406015,60.775661253377166,53.95048498382064,9.004070152799988,0.3771929824561403,0.3229392706385261
"wide sigma check (0.3, 1.0)",1664,0.46814903846153844,0.46814903846153844,779,0.0975609756097561,0.20154043645699615,55.64683123070616,61.2408697048998,8.975899350286054,0.48267008985879334,0.35519001687712576
