analysis,n_points,frac_viable,n_viable,P_wage_led_given_viable,P_wage_led_all_points,slope_mean_viable,slope_sd_viable,slope_seed_sd_mean
primary (empirical sigma 0.40-0.60),3328,0.4825721153846153,1606,0.0952677459526774,0.0459735576923076,45.01626876435007,50.18186036403283,12.238972813596996
"wide sigma check (0.3, 1.0)",1664,0.4831730769230769,804,0.20149253731343283,0.09735576923076923,37.57467934032099,53.91004266556181,12.88626092843411
