n_seeds,n_points,frac_viable,frac_wage_led_viable,slope_sd_across_points,slope_seed_sd_mean,slope_sd_of_mean,noise_ratio
3,32,0.90625,0.10344827586206896,24.037927746901513,8.62188518290748,4.9778477312736795,0.20708306405136456
5,32,0.90625,0.06896551724137931,24.186127942022413,9.211455866873068,4.119488298013486,0.17032442348310095
10,32,0.84375,0.037037037037037035,25.033853753194034,8.755228951290423,2.768646492232513,0.11059609597181039
