c0,prices,eta,sigma_star,ci_lo,ci_hi,frac_undefined,n_crossings
1.0,off,0.0,0.6483558690714493,0.5912630397845914,0.709416842107428,0.0,1
1.0,off,0.05,0.6803465903657223,0.6573565999240887,0.7111425435619163,0.0,1
1.0,off,0.1,0.7259642099576271,0.6995097787716378,0.7502360580018588,0.0,2
1.0,off,0.15,0.7108980838442166,0.6581622238259135,0.7996214757594632,0.0,2
1.0,on,0.0,0.6483558690714493,0.5912630397845914,0.709416842107428,0.0,1
1.0,on,0.05,0.7162589069868848,0.6714174262173319,0.7702684004335248,0.0,1
1.0,on,0.1,0.8063798428585831,0.7513259159184248,0.8380780186446769,0.0,1
1.0,on,0.15,0.8708066216164486,0.8434064328761288,0.9090007676201771,0.0,1
