point,rho,seed,Output,Total_Capital,Investment,Unemployment_Rate,Wage_Share,Profit_Share,Average_Utilization,Capitalist_Consumption,Tax_Rate,Consumption,Employment,Wage_Rate,Money_Buffer
0,0.35,0,118.22322234288025,732.9444525902433,21.72972102652917,0.39627450980392165,0.43773015713263147,0.5622698428673686,0.4326123837960454,45.42033211313398,0.21140085668585465,96.4935013163511,60.372549019607845,0.8572108342454591,0.0
0,0.35,1,116.94718006990772,709.7935792222485,21.295924504159654,0.40117647058823525,0.43817047792036895,0.561829522079631,0.4417363279945893,44.9106042637411,0.21537077028007845,95.65125556574807,59.88235294117647,0.855730808005247,0.0
0,0.35,2,118.85697114705802,729.3202273131794,21.85543357209188,0.3923529411764707,0.43864520983963307,0.5613547901603669,0.43749863513877846,45.711105306639496,0.20826474339710135,97.00153757496614,60.76470588235294,0.8580084146580443,0.0
0,0.45,0,128.89326175620064,1021.0975851817557,30.63292755545278,0.35999999999999993,0.4303231682011414,0.5696768317988585,0.34078455876770386,45.164913632672146,0.19051118702506134,98.26033420074786,64.0,0.8666524493548013,0.0
0,0.45,1,131.03623278415418,1049.5239997965118,31.485719993895515,0.3500000000000001,0.43131471968952456,0.5686852803104755,0.337686777230083,45.78988483269104,0.18342060234168617,99.55051279025871,65.0,0.8695054771149042,0.0
0,0.45,2,127.7088950237172,1007.4926675112885,30.23996197812609,0.36549019607843136,0.429867740231154,0.570132259768846,0.3420011961713434,44.72409937565481,0.19473619593156458,97.46893304559111,63.450980392156865,0.8652146399740148,0.0
0,0.55,0,151.12093233187568,1481.4320090006847,44.40539424245593,0.2617647058823529,0.4394442276965263,0.5605557723034736,0.2813260293172904,46.668287512247495,0.13240065382117164,106.71553808941975,73.82352941176471,0.8995679435981102,0.0
0,0.55,1,145.20767637761116,1403.0754548340917,42.09226364502298,0.29,0.43457953106067293,0.5654204689393273,0.283432457803715,45.34276615789565,0.14997751656075156,103.11541273258817,71.0,0.8887927310787633,0.0
0,0.55,2,147.31967194018074,1433.3962440310695,43.00188732093232,0.27999999999999997,0.43616442836998615,0.5638355716300139,0.28214179171860104,45.76689475057176,0.14372404000519326,104.31778461924846,72.0,0.8924388958255949,0.0
0,0.65,0,173.14558668238033,1909.3062272610875,57.27918681783286,0.16000000000000003,0.46216897574039467,0.5378310242596053,0.2590904151575084,46.17652904847161,0.07893082628615128,115.8663998645475,84.0,0.9526490291781603,0.0
