c0,target,support,sigma_star,ci_lo,ci_hi,frac_undefined,P_star_gt_0.60,P_star_gt_0.40
1.0,Y,shared,0.8300131724758923,0.7662204062498617,0.8656039161160756,0.0,1.0,1.0
1.0,U,shared,0.3992726703945574,0.3869107243876992,0.41767440913254195,0.0,0.0,0.4555
2.0,Y,shared,0.9414539667649011,0.9184556529987985,0.9633779393548143,0.0,1.0,1.0
2.0,U,shared,0.449718846949328,0.44369966917008213,0.4560939088368168,0.0,0.0,1.0
