token,kind,occurrences,files,category,false_positive_note
108,int,5,paper/sections/01_introduction.tex;paper/sections/06_shape.tex;paper/sections/09_sensitivity.tex;paper/sections/10_discussion.tex,BLINDSPOT_3_SMALL_INT,
110,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
112,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
12,int,1,paper/sections/07_stress.tex,STRUCTURAL,
1230,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
13,int,6,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
14,int,9,paper/sections/07_stress.tex;paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
15,int,1,paper/sections/07_stress.tex,BLINDSPOT_3_SMALL_INT,
1509,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
1596,int,3,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
16,int,8,paper/appendices/a_validation.tex;paper/sections/04_calibration.tex;paper/sections/05_protocol.tex;paper/sections/07_stress.tex;paper/sections/08_fiscal.tex;paper/sections/09_sensitivity.tex,STRUCTURAL,
160,int,1,paper/appendices/a_validation.tex,BLINDSPOT_3_SMALL_INT,
18,int,1,paper/sections/07_stress.tex,BLINDSPOT_3_SMALL_INT,
19,int,1,paper/sections/06_shape.tex,BLINDSPOT_3_SMALL_INT,
190,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
191,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
1957,int,1,paper/sections/04_calibration.tex,BLINDSPOT_3_SMALL_INT,
1958,int,1,paper/sections/07_stress.tex,BLINDSPOT_3_SMALL_INT,
197,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
1971,int,1,paper/sections/02_literature.tex,BLINDSPOT_3_SMALL_INT,
1990,int,2,paper/sections/01_introduction.tex;paper/sections/02_literature.tex,BLINDSPOT_3_SMALL_INT,
1991,int,1,paper/sections/05_protocol.tex,BLINDSPOT_3_SMALL_INT,
1994,int,2,paper/sections/02_literature.tex;paper/sections/04_calibration.tex,BLINDSPOT_3_SMALL_INT,
2,int,31,paper/appendices/a_validation.tex;paper/sections/04_calibration.tex;paper/sections/07_stress.tex;paper/sections/09_sensitivity.tex;paper/sections/12_conclusion.tex,COVERED_RESULT,
20,int,5,paper/appendices/a_validation.tex;paper/sections/05_protocol.tex;paper/sections/06_shape.tex;paper/sections/07_stress.tex,STRUCTURAL,
200,int,3,paper/appendices/a_validation.tex;paper/sections/03_model.tex,STRUCTURAL,
2000,int,11,paper/sections/02_literature.tex;paper/sections/04_calibration.tex;paper/sections/05_protocol.tex;paper/sections/06_shape.tex;paper/sections/07_stress.tex,STRUCTURAL,
2001,int,2,paper/sections/05_protocol.tex;paper/sections/07_stress.tex,BLINDSPOT_3_SMALL_INT,
2002,int,1,paper/sections/04_calibration.tex,BLINDSPOT_3_SMALL_INT,
2004,int,2,paper/sections/02_literature.tex;paper/sections/07_stress.tex,BLINDSPOT_3_SMALL_INT,
2005,int,3,paper/sections/02_literature.tex;paper/sections/04_calibration.tex,BLINDSPOT_3_SMALL_INT,
2007,int,1,paper/sections/02_literature.tex,BLINDSPOT_3_SMALL_INT,
2008,int,3,paper/sections/02_literature.tex;paper/sections/04_calibration.tex,BLINDSPOT_3_SMALL_INT,
2009,int,1,paper/sections/04_calibration.tex,BLINDSPOT_3_SMALL_INT,
201,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
2010,int,2,paper/sections/02_literature.tex;paper/sections/05_protocol.tex,BLINDSPOT_3_SMALL_INT,
2012,int,4,paper/sections/02_literature.tex;paper/sections/04_calibration.tex;paper/sections/06_shape.tex,BLINDSPOT_3_SMALL_INT,
2013,int,1,paper/sections/01_introduction.tex,BLINDSPOT_3_SMALL_INT,
2014,int,1,paper/sections/02_literature.tex,BLINDSPOT_3_SMALL_INT,
2016,int,1,paper/sections/02_literature.tex,BLINDSPOT_3_SMALL_INT,
2017,int,2,paper/sections/02_literature.tex;paper/sections/05_protocol.tex,BLINDSPOT_3_SMALL_INT,
2020,int,5,paper/sections/02_literature.tex;paper/sections/04_calibration.tex;paper/sections/05_protocol.tex;paper/sections/06_shape.tex;paper/sections/11_limitations.tex,BLINDSPOT_3_SMALL_INT,
2024,int,1,paper/sections/04_calibration.tex,BLINDSPOT_3_SMALL_INT,
2025,int,8,paper/sections/01_introduction.tex;paper/sections/02_literature.tex;paper/sections/06_shape.tex;paper/sections/08_fiscal.tex,BLINDSPOT_3_SMALL_INT,
21,int,1,paper/sections/07_stress.tex,BLINDSPOT_3_SMALL_INT,
22,int,1,paper/sections/06_shape.tex,BLINDSPOT_3_SMALL_INT,
24,int,1,paper/appendices/a_validation.tex,BLINDSPOT_3_SMALL_INT,
2419,int,1,paper/sections/02_literature.tex,BLINDSPOT_3_SMALL_INT,
25,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
250,int,1,paper/sections/07_stress.tex,BLINDSPOT_3_SMALL_INT,
256,int,3,paper/sections/09_sensitivity.tex;paper/sections/11_limitations.tex,BLINDSPOT_3_SMALL_INT,
26,int,1,paper/sections/08_fiscal.tex,BLINDSPOT_3_SMALL_INT,
29,int,1,paper/sections/08_fiscal.tex,BLINDSPOT_3_SMALL_INT,
299,int,1,paper/sections/08_fiscal.tex,BLINDSPOT_3_SMALL_INT,
3,int,19,paper/appendices/a_validation.tex;paper/sections/04_calibration.tex;paper/sections/05_protocol.tex;paper/sections/07_stress.tex;paper/sections/09_sensitivity.tex;paper/sections/10_discussion.tex,STRUCTURAL,
31,int,1,paper/sections/11_limitations.tex,BLINDSPOT_3_SMALL_INT,
34,int,2,paper/sections/07_stress.tex,BLINDSPOT_3_SMALL_INT,
3410,int,1,paper/appendices/a_validation.tex,BLINDSPOT_3_SMALL_INT,
353,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
38,int,1,paper/sections/07_stress.tex,BLINDSPOT_3_SMALL_INT,
4,int,7,paper/appendices/a_validation.tex;paper/sections/04_calibration.tex;paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
43,int,1,paper/sections/07_stress.tex,BLINDSPOT_3_SMALL_INT,
477,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_1_DERIVED,
49,int,1,paper/sections/05_protocol.tex,BLINDSPOT_3_SMALL_INT,
5,int,5,paper/appendices/a_validation.tex;paper/sections/04_calibration.tex;paper/sections/05_protocol.tex;paper/sections/09_sensitivity.tex,STRUCTURAL,
50,int,3,paper/sections/05_protocol.tex;paper/sections/06_shape.tex;paper/sections/11_limitations.tex,STRUCTURAL,
538,int,2,paper/sections/09_sensitivity.tex,BLINDSPOT_1_DERIVED,
569,int,1,paper/appendices/a_validation.tex,BLINDSPOT_4_MEASURED_NO_CSV,
58,int,1,paper/sections/04_calibration.tex,BLINDSPOT_3_SMALL_INT,
6,int,1,paper/sections/07_stress.tex,STRUCTURAL,
602,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
7,int,5,paper/appendices/a_validation.tex;paper/sections/07_stress.tex,STRUCTURAL,
75,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
77,int,1,paper/sections/02_literature.tex,BLINDSPOT_3_SMALL_INT,
8,int,5,paper/appendices/a_validation.tex;paper/sections/07_stress.tex,STRUCTURAL,
821,int,1,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
832,int,2,paper/sections/09_sensitivity.tex,BLINDSPOT_3_SMALL_INT,
843,int,2,paper/sections/09_sensitivity.tex,COVERED_RESULT,
9,int,1,paper/sections/03_model.tex,BLINDSPOT_3_SMALL_INT,
90,int,2,paper/sections/07_stress.tex,STRUCTURAL,
95,int,5,paper/appendices/a_validation.tex;paper/sections/06_shape.tex;paper/sections/07_stress.tex,BLINDSPOT_3_SMALL_INT,
97,int,1,paper/sections/03_model.tex,BLINDSPOT_3_SMALL_INT,
