qoi,parameter,estimator,S1,S1_conf,ST,ST_conf,n_points,N,tag
slope_raw,sigma,saltelli,0.031257725346727716,0.0681887993664532,0.07556946799405141,0.04658969421049695,1664,128,wide
slope_raw,eta,saltelli,0.035794320269262075,0.06364514943975424,0.06625711818698313,0.04245398346510629,1664,128,wide
slope_raw,pi0,saltelli,0.01128715061926082,0.14724553666275778,0.4470469091297891,0.16148281529871159,1664,128,wide
slope_raw,pct_capitalists,saltelli,0.04959071594627113,0.05714564032657721,0.0633349370327791,0.048424934423200325,1664,128,wide
slope_raw,delta,saltelli,0.4213015526457162,0.1870336533205132,0.8020303690024013,0.18523496951893542,1664,128,wide
slope_raw,c1,saltelli,0.002469159545259989,0.005007666847810476,0.0003899282845768277,0.0002975652825685066,1664,128,wide
slope_raw,wealth_effect,saltelli,0.01772132474024268,0.12304609279602623,0.23482669475813592,0.09899919399530048,1664,128,wide
slope_raw,capitalist_mpc,saltelli,0.0374230968255004,0.09604123184693322,0.12487446556588722,0.057558972037479776,1664,128,wide
slope_raw,beta,saltelli,-0.01893132021901899,0.039180088688010054,0.027757636223727906,0.010406325049197519,1664,128,wide
slope_raw,target_utilization,saltelli,-0.001653997113016926,0.03821828776566898,0.016925182621858072,0.017532472518572095,1664,128,wide
slope_raw,c0,saltelli,0.1654540896206911,0.13065348630277537,0.2633256730951507,0.10967159136505529,1664,128,wide
viable,sigma,saltelli,0.014673541946269218,0.06655866051669039,0.07835935108662379,0.0653140891749482,1664,128,wide
viable,eta,saltelli,-0.0019966565421110885,0.06284735715893036,0.06268748086929904,0.05983083514361354,1664,128,wide
viable,pi0,saltelli,0.060690824327187955,0.1091770667840707,0.21940618304254664,0.10964630052775924,1664,128,wide
viable,pct_capitalists,saltelli,0.03334039697676061,0.05944944112960477,0.06268748086929904,0.05887765234441621,1664,128,wide
viable,delta,saltelli,0.7669233123778578,0.18563750806437507,0.8932966023875114,0.17075246097861532,1664,128,wide
viable,c1,saltelli,0.0,0.0,0.0,0.0,1664,128,wide
viable,wealth_effect,saltelli,-0.0019966565421110885,0.09542753999274241,0.15671870217324757,0.09149016771695646,1664,128,wide
viable,capitalist_mpc,saltelli,0.01267688540415813,0.06723146951140792,0.07835935108662379,0.06744348502076267,1664,128,wide
viable,beta,saltelli,0.0,0.0,0.0,0.0,1664,128,wide
viable,target_utilization,saltelli,0.0,0.0400467581155527,0.03134374043464952,0.04198570788456744,1664,128,wide
viable,c0,saltelli,-0.003993313084222177,0.0894721899160942,0.12537496173859808,0.08463142501602793,1664,128,wide
slope|viable,sigma,rbd_fast,0.08575458161044701,,,,779,128,wide
slope|viable,eta,rbd_fast,0.07413419221311617,,,,779,128,wide
slope|viable,pi0,rbd_fast,0.10811558310389195,,,,779,128,wide
slope|viable,pct_capitalists,rbd_fast,0.0966703350768742,,,,779,128,wide
slope|viable,delta,rbd_fast,0.04111787741430911,,,,779,128,wide
slope|viable,c1,rbd_fast,0.05306046320121063,,,,779,128,wide
slope|viable,wealth_effect,rbd_fast,0.09436756245843549,,,,779,128,wide
slope|viable,capitalist_mpc,rbd_fast,0.0689118890782976,,,,779,128,wide
slope|viable,beta,rbd_fast,0.5386457881967514,,,,779,128,wide
slope|viable,target_utilization,rbd_fast,0.1561020707367561,,,,779,128,wide
slope|viable,c0,rbd_fast,0.06641458124284338,,,,779,128,wide
