sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,c0
0.05,0.35,0,79.98962199994763,252.83801088339183,12.641900543575154,67.34772145637248,45.0,0.55,0.5063156818021531,0.5120135414510577,0.4936843181978468,0.6938659565025548,0.9091398976276809,0.05143346197173288,0.014929346446344116,84.32684349820904,81.20191349867542,0.9850706535524661,0.0,0.9,0.0,0.09999999999999998,0.9,0.0,1.0
0.05,0.35,1,82.22525132582133,262.86157606689244,13.143078803344602,69.08217252247671,46.0,0.54,0.5034949645328611,0.5120135414510577,0.4965050354671388,0.6886125133708473,0.9094980793217604,0.06210410726860429,0.02601065995439094,87.66991300746618,84.42109984691511,0.9739893400456088,0.0,0.9,0.0,0.0,1.0,0.0,1.0
0.05,0.35,2,0.0,1.468631494583721e-37,0.0,0.0,0.0,1.0,0.0,0.5120135414510577,0.0,0.0,0.9313017411680501,1.0,1.0,4.898197888373839e-38,4.812955744929686e-38,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0
0.05,0.35,3,80.3060412023824,255.77595643838586,12.788797821919273,67.51724338046313,45.0,0.55,0.5043207135305595,0.5120135414510577,0.4956792864694404,0.6922767059014712,0.9047371731189077,0.05861987876269393,0.02239232698727582,85.30671021269485,82.1454694140245,0.977607673012724,0.0,0.9,0.09999999999999998,0.09999999999999998,0.7999999999999998,0.0,1.0
0.05,0.35,4,79.85694209061066,251.72557088355614,12.586278433312765,67.27066365729789,45.0,0.55,0.507156910091125,0.5120135414510577,0.492843089908875,0.6925561471273008,0.9064881287453064,0.04882185831606314,0.012217237638723141,83.95582130307827,80.84464027263857,0.9877827621378101,0.0,0.9,0.0,0.09999999999999998,0.9,0.0,1.0
0.05,0.35,5,84.52590305180605,275.17357653482986,13.758678826741487,70.76722422506458,47.0,0.5300000000000001,0.5004383091189724,0.5120135414510577,0.4995616908810277,0.6823474205223586,0.9081077442603163,0.07899995333559064,0.04355678106710037,91.77622016191417,88.37524421586818,0.9564432189328995,0.0,0.9,0.30000000000000004,0.09999999999999998,0.6000000000000001,0.0,1.0
0.05,0.35,6,84.50300436630572,274.82112824763396,13.741056412381692,70.76194795392402,47.0,0.5300000000000001,0.5005739182554612,0.5120135414510577,0.4994260817445388,0.682159383184933,0.9072686233174161,0.07806863187811791,0.0425896165403112,91.65867144584907,88.26205128562164,0.957410383459689,0.0,0.9,0.19999999999999996,0.30000000000000004,0.5,0.0,1.0
0.05,0.35,7,0.0,4.9518736067316005e-39,0.0,0.0,0.0,1.0,0.0,0.5120135414510577,0.0,0.0,0.9257590484690706,1.0,1.0,1.651554997522503e-39,1.6228133886261235e-39,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0
0.05,0.35,8,0.0,2.0601587386499107e-31,0.0,0.0,0.0,1.0,0.0,0.5120135414510577,0.0,0.0,0.9230445569179874,1.0,1.0,6.87106685413292e-32,6.751491353154377e-32,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0
0.05,0.35,9,92.32463533748826,311.81024995603167,15.590512497801607,76.73412283968668,51.0,0.49,0.49715874676585237,0.5120135414510577,0.5028412532341476,0.6586112944409455,0.9097581891667123,0.11222222132043272,0.0780586049376278,103.99520865999482,100.14154460570914,0.9219413950623727,0.0,0.9,0.7999999999999998,0.0,0.19999999999999996,0.0,1.0
0.05,0.35,10,82.59885832769997,267.4271925579032,13.371359627895146,69.22749869980481,46.0,0.54,0.501217581431344,0.5120135414510577,0.4987824185686559,0.6883800063109947,0.9077376097349044,0.07392743240878386,0.03828900540315488,89.19264128786988,85.88740150810678,0.9617109945968448,0.0,0.9,0.19999999999999996,0.09999999999999998,0.7000000000000002,0.0,1.0
0.05,0.35,11,0.0,7.410297909794348e-38,0.0,0.0,0.0,1.0,0.0,0.5120135414510577,0.0,0.0,0.918909293540533,1.0,1.0,2.471491705566623e-38,2.4284809380786436e-38,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0
0.05,0.35,12,88.51487044553545,294.35242538574863,14.717621269287458,73.797249176248,49.0,0.51,0.498221369788203,0.5120135414510577,0.501778630211797,0.6676816653263098,0.9008161484325848,0.09837631295249073,0.06367909250548315,98.17274292714025,94.53475804827504,0.9363209074945167,0.0,0.9,0.3999999999999999,0.3999999999999999,0.19999999999999996,0.0,1.0
0.05,0.35,13,84.4065241797185,273.4093289832676,13.670466449163357,70.73605773055513,47.0,0.5300000000000001,0.5011460951754723,0.5120135414510577,0.49885390482452774,0.6825898082789319,0.9091784989954681,0.07436611810052153,0.03874460736661873,91.1878074368985,87.80863527692144,0.9612553926333811,0.0,0.9,0.0,0.30000000000000004,0.7000000000000002,0.0,1.0
0.05,0.35,14,82.38652140248907,264.69256627259534,13.234628313629752,69.15189308885931,46.0,0.54,0.5025093825450581,0.5120135414510577,0.497490617454942,0.6874407097855724,0.905026609888392,0.06676513278019636,0.030851064395486176,88.2805864807928,85.00914397754548,0.9691489356045142,0.0,0.9,0.09999999999999998,0.19999999999999996,0.7000000000000002,0.0,1.0
0.05,0.35,15,0.0,1.196070929026035e-38,0.0,0.0,0.0,1.0,0.0,0.5120135414510577,0.0,0.0,0.9213885853362773,1.0,1.0,3.9891505258514534e-39,3.919728311989482e-39,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0
0.05,0.35,16,86.47920142719572,283.61765155906846,14.180882577953403,72.29831884924228,48.0,0.52,0.49954207817666785,0.5120135414510577,0.5004579218233323,0.6774686304048875,0.9104652250807743,0.08577095476813064,0.05058843952756774,94.5924895716506,91.08715864399541,0.9494115604724325,0.0,0.9,0.30000000000000004,0.19999999999999996,0.5,0.0,1.0
0.05,0.35,17,0.0,9.29770673662099e-40,0.0,0.0,0.0,1.0,0.0,0.5120135414510577,0.0,0.0,0.9334756608601097,1.0,1.0,3.100982627159642e-40,3.0470169826621833e-40,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0
