sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,config
0.5,0.4,0,85.24916360762265,293.3745178986388,14.570834353628914,70.67832925399377,46.05882352941177,0.5394117647058824,0.48625245177112436,0.580201151367446,0.5137475482288757,0.6936563824803613,0.9112148190248763,0.37342307812534586,0.26714610734370486,136.05610751947376,116.32825267332133,0.7323946073098969,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,1,90.01350240397853,313.6457106468999,15.874569080743026,74.13893332323552,48.450980392156865,0.5154901960784314,0.48435441737772633,0.580201151367446,0.5156455826222737,0.6776918795857907,0.9090735676683437,0.35941439753930127,0.27579812832872735,140.50917301572977,124.2941870466415,0.7247056979444477,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,2,87.84731262964175,307.5265581729301,15.29693985129482,72.55037277834693,47.11764705882353,0.5288235294117648,0.48271786474796824,0.580201151367446,0.5172821352520317,0.6881365149989657,0.9111980943015231,0.36892098176663546,0.2795351140608398,139.2024265069468,121.93416683444322,0.7199002985593634,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,3,91.67043065180569,327.5021393284759,16.39685154358181,75.2735791082239,48.76470588235294,0.5123529411764706,0.4787312231677638,0.580201151367446,0.5212687768322362,0.6764354501223714,0.9053985108571724,0.3607156114294351,0.29390801655695464,143.39480549388264,129.82872951680264,0.7061074543530887,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,4,86.92776968478678,303.9806889742837,15.16598085185188,71.7617888329349,46.68627450980392,0.5331372549019607,0.4833313287857319,0.580201151367446,0.5166686712142682,0.6887911174143533,0.9078001901815224,0.3720412751192063,0.27870726769556853,138.4287746906996,120.51722582399834,0.721211882470327,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,5,89.96003359617994,312.2779251349784,15.872346028324472,74.08768756785544,48.509803921568626,0.5149019607843138,0.48527775913809323,0.580201151367446,0.5147222408619068,0.6761163250730423,0.9065355459672475,0.3584645318034033,0.27296941417281173,140.21670430623308,123.73595341073295,0.7271564581384868,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,6,91.92976239150723,325.84596769022346,16.413418461184257,75.51634393032299,49.07843137254902,0.5092156862745099,0.4804597175147511,0.580201151367446,0.519540282485249,0.6752632444028844,0.9092476352792793,0.3574020069929177,0.2881946152863815,143.0571724252065,129.14810449621015,0.7119975472244269,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,7,88.80077757311764,316.65776096238886,15.620910421518278,73.17986715159935,47.372549019607845,0.5262745098039215,0.4797808724937159,0.580201151367446,0.5202191275062841,0.6861882189985897,0.9091415127283298,0.3707714422377816,0.2925602181557309,141.12918445617146,125.58599035060044,0.7069890559210922,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,8,87.63496553555147,303.77129898121916,15.26198669287925,72.37297884267223,47.31372549019608,0.5268627450980392,0.4856539561101221,0.580201151367446,0.5143460438898779,0.6841437643669788,0.9084040224543447,0.3666825041976199,0.27205846513780085,138.3729979163125,120.40832339903814,0.7277810399608649,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,9,88.96828021598398,311.9233738595014,15.66324913098427,73.30503108499971,47.705882352941174,0.5229411764705882,0.4825793318823014,0.580201151367446,0.5174206681176986,0.6823395856122315,0.9072177102508154,0.36519478312676246,0.28043862581738677,140.14895294966,123.64176237747581,0.7196667684787007,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,10,87.54425209055331,309.5063761442551,15.350340013661551,72.19391207689176,46.78431372549019,0.5321568627450981,0.48090528447156045,0.580201151367446,0.5190947155284396,0.6892635552095543,0.9087475394597324,0.373013987960922,0.2866398645797065,139.6259235820521,122.73004691352072,0.7132569288620876,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,11,86.56373481804115,310.81367972267134,15.15494481014096,71.40879000790021,46.0,0.5400000000000001,0.47815162245576487,0.580201151367446,0.5218483775442351,0.6937773266350503,0.9049752945999636,0.3811705978506107,0.2976702893033336,139.88583302192885,123.31134274779724,0.7020149689268402,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,12,87.71343799510734,311.1077126248316,15.420414276670835,72.2930237184365,46.80392156862745,0.5319607843137255,0.48021386482859285,0.580201151367446,0.5197861351714071,0.6873855473727307,0.9037899112469713,0.37336395941603806,0.28899868544262297,139.9734958906165,123.36731084374061,0.7106922871826635,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,13,89.73839063720699,317.7732290887699,15.882513762723471,73.85587687448353,47.92156862745098,0.5207843137254903,0.48057876765181384,0.580201151367446,0.5194212323481863,0.682584631320237,0.9098596184176124,0.3653071414327242,0.28766813414108316,141.38807171141374,125.97858269607872,0.7122010919108245,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,14,88.52695480930178,312.91300236237635,15.614868818990475,72.91208599031131,47.294117647058826,0.5270588235294119,0.4808011190163352,0.580201151367446,0.5191988809836648,0.685860537937312,0.9080802613645651,0.3692923511061769,0.2864048023641167,140.3611091418204,124.05778483396848,0.7134817564778188,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,15,89.26533115012715,315.49172093442587,15.800637397952144,73.46469375217502,47.68627450980392,0.5231372549019607,0.4807781805917152,0.580201151367446,0.5192218194082848,0.6830771693505527,0.9075098116096478,0.3665013274319108,0.28625637664949916,140.90825010803528,125.06632602808263,0.7136136625453059,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,16,88.77327748713729,314.21776296021653,15.566496158788214,73.20678132834907,47.529411764705884,0.5247058823529412,0.4810745503564935,0.580201151367446,0.5189254496435065,0.684521462244048,0.9093573647958146,0.3688315244618514,0.2875734131043043,140.59995646035284,124.60206488430953,0.7117296442657103,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,17,91.50645359359862,313.2221314100657,16.109812536200668,75.39664105739797,49.80392156862745,0.5019607843137255,0.4894076939173724,0.580201151367446,0.5105923060826276,0.6692314438660109,0.9157120717567102,0.34814157524172795,0.2618126171398996,140.36562099719384,124.06390969689419,0.7432290171254167,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,18,88.34495168367295,308.21395750051715,15.449480987667844,72.8954706960051,47.568627450980394,0.5243137254901962,0.4842993030618566,0.580201151367446,0.5157006969381434,0.6840864243299526,0.9116886724637469,0.36600895138605355,0.2768273995695287,139.3400967223658,122.17789520927482,0.7239949005741525,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.4,19,87.64881045616863,307.3015911179991,15.337199424675573,72.31161103149307,47.05882352941177,0.5294117647058825,0.4830599096522327,0.580201151367446,0.5169400903477672,0.686136300873515,0.9069117726365986,0.370126721536725,0.28054695106669897,139.14868750307272,121.83242417728147,0.7195328709367524,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.65,0,93.22743515274884,501.36309118933264,24.94675908021615,68.28067607253269,43.431372549019606,0.565686274509804,0.419270015820364,0.580201151367446,0.580729984179636,0.7129125504720554,0.909501225836853,0.4543895058593003,0.4543895058593003,170.86754073147904,170.86754073147904,0.4689060367224696,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.65,1,95.03689976325066,516.886093162984,25.798576170368676,69.23832359288197,44.1764705882353,0.558235294117647,0.4182983677005944,0.580201151367446,0.5817016322994056,0.7067965418515881,0.9064076386024129,0.4498262993780608,0.4498262993780608,172.73385094473736,172.73385094473736,0.4636505539528421,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.65,2,96.57844872236905,529.3578486379487,26.44556197423794,70.1328867481311,44.78431372549019,0.5521568627450979,0.41733329533951413,0.580201151367446,0.5826667046604859,0.7042239303664951,0.9093441487422702,0.44556549576392124,0.44556549576392124,174.19237533252715,174.19237533252715,0.4602506969803093,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.65,3,97.25503583004601,526.8587995123046,26.69180537315192,70.56323045689412,45.27450980392157,0.5472549019607843,0.418862851072332,0.580201151367446,0.581137148927668,0.698398103823356,0.9046766348961162,0.440786921452141,0.440786921452141,173.8863367838245,173.8863367838245,0.4662553624304752,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.65,4,97.01678324022454,530.6426766910522,26.53213383455269,70.48464940567186,45.0,0.55,0.4174535440916179,0.580201151367446,0.582546455908382,0.7023901705296657,0.9084153541399133,0.44351846917324556,0.44351846917324556,174.33962830013147,174.33962830013147,0.46117988163142853,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.65,5,97.21971791668615,536.4263050243035,26.82131525121524,70.39840266547091,45.0,0.55,0.416582159132647,0.580201151367446,0.5834178408673532,0.7010054598889255,0.9053829859340237,0.44444619810880087,0.44444619810880087,174.99604464182198,174.99604464182198,0.4571618146731175,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
