sigma,rho,Y,K,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Y_seed_min,Y_seed_max,n_seeds,frac_seeds_collapsed,collapsed,mixed_basin,Y_band_rel,binding,c0
0.05,0.35,58.83201771153534,190.71084977437417,9.535542483145708,49.29647522838963,32.8,0.672,0.3513145430204419,0.5120135414510577,0.3486854569795581,0.4779146067966081,0.9130215776552951,0.3517949979576161,0.3268499445061325,63.606104500417906,61.24904191721406,0.6731500554826347,0.0,0.9,0.14999999999999997,0.11499999999999999,0.7350000000000001,0.0,0.0,92.32463533748826,20,0.3,False,True,1.5692923501310738,capital,1.0
0.05,0.4,89.74605803780018,324.62658402360444,16.22699145392864,73.51906658387156,49.37647058823529,0.5062352941176471,0.49516884241011905,0.5120135414510577,0.504831157589881,0.665678699095511,0.9084123366378408,0.17040843190957342,0.13849116172230153,108.26936640134409,104.25836032443287,0.8615046177785934,0.0,0.9,0.7954901960784314,0.0941176470588235,0.1103921568627451,0.0,83.5515277246705,96.41395306043592,20,0.0,False,False,0.1433202261691302,demand,1.0
0.05,0.45,94.18363947394269,371.824849395863,18.581846605701475,75.60179286824122,51.74313725490195,0.48256862745098034,0.4944486978952152,0.5120135414510577,0.5055513021047849,0.6461048722866163,0.907352430960265,0.2401183819072133,0.21092328053291481,124.0054473182739,119.41750602926939,0.7890380528791632,0.0,0.9,0.99,0.009999999999999998,0.0,0.0,87.26212834254689,98.30113746901314,20,0.0,False,False,0.11720728980239037,demand,1.0
0.05,0.5,99.45502264660524,423.9110656106471,21.19669400986424,78.25832863674101,54.62549019607843,0.45374509803921564,0.49432363502802323,0.5120135414510577,0.5056763649719768,0.6227354046926376,0.9073315143100997,0.2955271697945041,0.2689526870435528,141.27074917284241,136.1438372519678,0.7310515208895934,0.0,0.9,1.0,0.0,0.0,0.0,94.67286042729981,109.24423969725143,20,0.0,False,False,0.14651225128899,demand,1.0
0.05,0.55,104.6941281871688,479.34184713360884,23.967092356680478,80.72703583048832,57.5,0.425,0.494297134946651,0.5120135414510577,0.505702865053349,0.5982542072485402,0.9064625706244313,0.34073906628403666,0.3195156737254116,158.8538213169912,153.94629577726218,0.6804843262745884,0.0,0.9,1.0,0.0,0.0,0.0,98.3206058811053,112.88825307885028,20,0.0,False,False,0.13914483505418201,demand,1.0
0.05,0.6,112.2517498316408,550.8729714441002,27.54364857220505,84.70810125943572,61.65,0.38350000000000006,0.49429074901460857,0.5120135414510577,0.5057092509853914,0.5641504912164808,0.90591938813416,0.3608606571731186,0.3572543362469519,175.58951346365504,174.63289077320968,0.6347323804378792,0.0,0.9,1.0,0.0,0.0,0.0,105.60567627866742,120.17236623987739,20,0.0,False,False,0.1297680435544,demand,1.0
0.05,0.65,119.53529560359519,624.6697067914449,31.233485339572304,88.30181026402286,65.65,0.34349999999999997,0.49428915811630514,0.5120135414510577,0.5057108418836949,0.529817719819806,0.9052703222370114,0.33986945361687104,0.33986945361687104,181.05143007861707,181.05143007861707,0.5961210708748906,0.0,0.9,1.0,0.0,0.0,0.0,109.24768951896769,125.63500777549943,20,0.0,False,False,0.13709187879432383,demand,1.0
0.3,0.35,90.6328810081309,290.859233531755,14.529255983416107,76.10362502471479,50.753921568627455,0.49246078431372553,0.503816010511918,0.5488409715364094,0.49618398948808196,0.6590585448923301,0.9087830519190577,0.28072874428811034,0.1302108975297069,126.0155547453597,104.24183417610027,0.8698142881558832,0.0,0.9,0.9290196078431372,0.07098039215686273,0.0,0.0,88.02083633837769,92.91321439296266,20,0.0,False,False,0.053980167022893814,demand,1.0
0.3,0.4,87.77700427159047,316.61980207332806,15.810538800082302,71.96646547150817,46.85686274509804,0.5314313725490196,0.48034632223599355,0.5488409715364094,0.5196536777640064,0.6878736442619815,0.908733221612691,0.34264540394224197,0.22630689992260522,133.52384969804103,113.47537999566453,0.7738465516536805,0.0,0.9,0.9992156862745099,0.000784313725490196,0.0,0.0,85.95919057857277,92.11560192252935,20,0.0,False,False,0.07013694982011519,demand,1.0
0.3,0.45,89.71754400298252,358.58188078752994,17.957308341616802,71.76023566136573,46.47352941176471,0.535264705882353,0.4661781392073652,0.5488409715364094,0.5338218607926348,0.6911206388315085,0.908508960629467,0.37840845835146675,0.3015923596686058,144.31867927873503,128.50383935562016,0.6984313233213558,0.0,0.9,1.0,0.0,0.0,0.0,86.66507344698526,94.44633985449266,20,0.0,False,False,0.08673071130044227,demand,1.0
