sigma,eta,benefit_replacement_rate,pi0,pct_capitalists,delta,c1,wealth_effect,capitalist_mpc,beta,c0,point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
0.4599203189834952,0.10874184342101216,0.3630394438281655,0.3995533754117787,0.13097836058586837,0.06800820121541619,0.9499214531853795,0.0700397795252502,0.26578659722581505,0.8032637545838952,1.5582287684082985,0,1.0,0.0,14.721702854159744,3.4812116982473227,14.721702854159744,3.4812116982473227,3,0.0,0.0,121.61939606918249,328.717269224503,22.426731437015054,0.3701307189542483,0.4486201347436022,0.5513798652563978,0.8713966346987538,49.31825192173447,0.1175147790359938,99.19266463216744,62.98692810457516,0.8664195532299556,0.0,124.56373664001444,477.29984394225806,32.45197382946098,0.4658169934640522,0.3623092757676296,0.6376907242323703,0.6072576528499306,48.97137834175965,0.1551438628977453,92.11176281055346,53.41830065359477,0.8448691781483032,0.0
0.42570594828575853,0.10874184342101216,0.3630394438281655,0.3995533754117787,0.13097836058586837,0.06800820121541619,0.9499214531853795,0.0700397795252502,0.26578659722581505,0.8032637545838952,1.5582287684082985,1,1.0,0.0,17.894445654716378,4.5350491473489605,17.894445654716378,4.5350491473489605,3,0.0,0.0,120.7784046995413,330.99156394314224,22.453871730667547,0.3805228758169934,0.4428721377125803,0.5571278622874196,0.8714183841841449,49.257709050443545,0.1215370951472113,98.32453296887375,61.947712418300654,0.8637126928398758,0.0,124.35729383048458,477.0814775351228,32.446128860572514,0.4640522875816993,0.3642735343817125,0.6357264656182874,0.6169412206645332,48.66698885787887,0.1549616285230103,91.91116496991208,53.59477124183007,0.8452567542721489,0.0
0.4599203189834952,0.08875667545944452,0.3630394438281655,0.3995533754117787,0.13097836058586837,0.06800820121541619,0.9499214531853795,0.0700397795252502,0.26578659722581505,0.8032637545838952,1.5582287684082985,2,1.0,0.0,11.287784968562155,4.119440711734996,11.287784968562155,4.119440711734996,3,0.0,0.0,122.42952937799232,330.38892804564165,22.527341268515823,0.3654248366013071,0.45270627529172,0.54729372470828,0.8759146607122652,49.31279304058495,0.1161670279597658,99.90218810947648,63.45751633986928,0.8736151124777939,0.0,124.68708637170477,475.3780961649644,32.28831980645371,0.4642483660130718,0.3673734553411772,0.6326265446588227,0.613678006492891,48.704626716812506,0.1559930505024429,92.39876656525104,53.57516339869281,0.8550069434440531,0.0
0.4599203189834952,0.10874184342101216,0.13878937549889087,0.3995533754117787,0.13097836058586837,0.06800820121541619,0.9499214531853795,0.0700397795252502,0.26578659722581505,0.8032637545838952,1.5582287684082985,3,1.0,0.0,1.3255424607557365,0.9546156128364606,1.3255424607557365,0.9546156128364606,3,0.0,0.0,110.78418915874374,299.4902975064488,20.370923319295027,0.4269934640522876,0.4411009846559398,0.5588990153440602,0.8644665758599227,49.71464850887708,0.0559140803142468,90.41326583944873,57.30065359477124,0.8528522894221205,0.0,111.0492976508949,416.3295707152722,28.77723302262001,0.5184313725490196,0.3620085750658843,0.6379914249341158,0.6187351939460713,49.058732194045376,0.0731903992446918,82.27206462827489,48.15686274509804,0.8351427547203202,0.0
0.4599203189834952,0.10874184342101216,0.3630394438281655,0.35667498139664533,0.13097836058586837,0.06800820121541619,0.9499214531853795,0.0700397795252502,0.26578659722581505,0.8032637545838952,1.5582287684082985,4,0.0,1.0,676.2244038820621,6.688534874577139,,,3,,0.0,0.0,5.05623010664319e-57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,135.2448807764125,493.2705844726552,33.64498171740163,0.33,0.4345759499070044,0.5654240500929956,0.6797052445286197,48.60879889792785,0.1035388758224138,101.59989905901088,67.00000000000001,0.877307035846531,0.0
0.4599203189834952,0.10874184342101216,0.3630394438281655,0.3995533754117787,0.1256428633350879,0.06800820121541619,0.9499214531853795,0.0700397795252502,0.26578659722581505,0.8032637545838952,1.5582287684082985,5,1.0,0.0,15.889129404351529,5.556453094576098,15.889129404351529,5.556453094576098,3,0.0,0.0,121.45818031189116,329.35118944313746,22.427819551643967,0.3726797385620914,0.4470810285447286,0.5529189714552714,0.8681268054051735,48.571333188594885,0.1184160683262044,99.03036076024722,62.73202614379085,0.8657773852456652,0.0,124.6360061927615,477.8577260497013,32.491233271507205,0.4656209150326796,0.3622576951141927,0.6377423048858072,0.6069595596035109,48.27148227709233,0.1550286337003204,92.14477292125429,53.43790849673203,0.8449318676738565,0.0
0.4599203189834952,0.10874184342101216,0.3630394438281655,0.3995533754117787,0.13097836058586837,0.07701807199046015,0.9499214531853795,0.0700397795252502,0.26578659722581505,0.8032637545838952,1.5582287684082985,6,0.0,1.0,647.7411509766961,2.2806856168929697,,,3,,0.0,0.0,7.496829614122626e-65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775177662993428,0.0,129.54823019533924,449.8307600974952,34.75292436664771,0.4199346405228759,0.3825062026323009,0.617493797367699,0.6740730775223217,48.60543410197128,0.1376471091013548,94.79530582869154,58.006535947712415,0.8545179568774897,0.0
0.4599203189834952,0.10874184342101216,0.3630394438281655,0.3995533754117787,0.13097836058586837,0.06800820121541619,0.8341187202837318,0.0700397795252502,0.26578659722581505,0.8032637545838952,1.5582287684082985,7,1.0,0.0,17.81203041094369,5.452971644134962,17.81203041094369,5.452971644134962,3,0.0,0.0,121.22081861960794,328.90620773988195,22.355844531439143,0.3739869281045751,0.4468473563539071,0.5531526436460928,0.8672319056011294,49.27383329980484,0.1190235647186972,98.8649740881688,62.60130718954249,0.865475413566419,0.0,124.78322470179668,478.7102067694554,32.55266347697181,0.4650980392156862,0.3622288113094456,0.6377711886905545,0.6066023127438469,49.03408102956888,0.15473376790252,92.23056122482484,53.490196078431374,0.8450379938710492,0.0
0.4599203189834952,0.10874184342101216,0.3630394438281655,0.3995533754117787,0.13097836058586837,0.06800820121541619,0.9499214531853795,0.03031527425162494,0.26578659722581505,0.8032637545838952,1.5582287684082985,8,1.0,0.0,12.081733533956577,3.305761910310314,12.081733533956577,3.305761910310314,3,0.0,0.0,86.68761466744816,234.44553104808347,15.940317594358795,0.5507843137254902,0.4297977816762028,0.5702022183237972,0.8536488801619108,33.8729567336884,0.2346613600433316,70.74729707308937,44.92156862745099,0.8296284739326238,0.0,89.10396137423949,336.78165784838785,22.83018229187465,0.6150326797385621,0.3540341614961083,0.6459658385038918,0.6075768703729013,32.82217133839911,0.2765535640511705,66.27377908236484,38.4967320261438,0.8197975997997388,0.0
0.4599203189834952,0.10874184342101216,0.3630394438281655,0.3995533754117787,0.13097836058586837,0.06800820121541619,0.9499214531853795,0.0700397795252502,0.2899751216173172,0.8032637545838952,1.5582287684082985,9,1.0,0.0,6.617116588889542,3.4944773706905643,6.617116588889542,3.4944773706905643,3,0.0,0.0,124.51396643716696,337.5757985481525,22.92728491693665,0.357124183006536,0.4489200938734397,0.5510799061265602,0.869662638346858,50.68729126276154,0.1110731769829863,101.58668152023031,64.2875816993464,0.8695963542461168,0.0,125.83738975494488,479.7793741940552,32.53812355724668,0.4592810457516339,0.3636134016190535,0.6363865983809465,0.6107249693577126,49.67045701782258,0.1512694118059268,93.2992661976982,54.071895424836605,0.8462388736350296,0.0
