c0,sigma,quad_coef,se,t,turning_rho,turn_in_support
1.0,0.05,-488.6515571147445,293.5107970464059,-1.6648503633666518,0.6736789030644398,False
1.0,0.3,262.4965565612434,34.179838973465415,7.679865220109007,0.4202120093851226,True
1.0,0.4,208.3995835608602,41.611008987101364,5.008279987285581,0.43579761534678707,True
1.0,0.5,230.8441455435789,31.215717006562986,7.395125522666828,0.4615522097126769,True
1.0,0.6,247.0927081502672,23.846163989780976,10.361947869525522,0.48862077872091,True
1.0,0.7,181.961900004622,31.399674612929452,5.7950250200903515,0.5131554724070021,True
1.0,0.8,217.1375780931569,42.5078431061479,5.108176802829884,0.526849429063323,True
1.0,0.9,237.9308760338222,28.289229034959604,8.410652539869117,0.5415911825086989,True
1.0,1.0,212.77956944217837,33.06372005249902,6.435439481834593,0.5694671947525792,True
1.0,1.25,246.1625651445545,38.7208987179876,6.3573567064496075,0.5919392596662229,True
1.0,1.5,218.42664318986266,35.23093361973075,6.199853956397423,0.6397953547771216,True
2.0,0.05,-1951.241188276758,919.3371200312464,-2.122443601766498,0.6115905130675241,True
2.0,0.3,227.7704411757082,46.077761302220324,4.943175074886565,0.3038867830544167,False
2.0,0.4,302.02099031892436,22.570975960044482,13.380945106386491,0.3994579563178264,False
2.0,0.5,248.99270800607079,12.130021608334976,20.52697975698402,0.410134046836969,True
2.0,0.6,228.10080614353598,24.25150145061474,9.405636455459709,0.4244813094283506,True
2.0,0.7,248.52951386865763,39.08820356465064,6.358171806427424,0.4661283403226691,True
2.0,0.8,243.6997303205405,35.01709874387298,6.959449499315851,0.492878088093916,True
2.0,0.9,264.2793280913601,32.1589951783639,8.21789756258191,0.51622755284242,True
2.0,1.0,230.1913879694671,43.0989621810422,5.340996077875876,0.5392241480301598,True
2.0,1.25,226.21824730856585,35.57716076134603,6.358524470967567,0.5979125802987151,True
2.0,1.5,272.1085118582706,28.135862111738565,9.671234198462475,0.6289531940535715,True
